date,MarketLSI_mean,MarketLSI_p95,MarketLSI_max,IndexRet_sum,IndexRV_mean,MarketRelAmt_mean,period,MarketLSI_20d
2023-05-15,2.1457740808147574,3.997616126724552,19.117746771334584,0.017654165050196013,1.3688065396315292e-06,15.024783633956867,train,
2023-05-16,1.3473910813127963,2.388273874875954,42.62124581085793,-0.004578856810267595,5.541919253626768e-07,14.757161853884718,train,
2023-05-17,1.0856835073239275,2.10078589192754,13.51626237363215,0.00010692045292692853,6.74803006023131e-07,14.634695235935565,train,
2023-05-18,1.2470786895833175,2.28849313830336,11.605534780366723,-0.003603647420099776,8.052063443822408e-07,14.704429639889588,train,
2023-05-19,1.5399730492422057,4.313653315433874,11.551214524131485,0.002183523514714736,7.800944994326292e-07,14.610124114767421,train,1.4731800816554008
2023-05-22,1.8446121696023987,2.6905196842875663,38.088687669735215,0.005522146557867202,8.572388260995336e-07,14.610567067086563,train,1.535085429646567
2023-05-23,0.9628054237530137,2.251178205267835,9.403076868272848,-0.012677137065416844,6.050989176418928e-07,14.633057668977042,train,1.4533311430903453
2023-05-24,1.3911831839278141,3.306095515165485,22.049733436280327,-0.006546620923788993,9.940536162203571e-07,14.731698335132556,train,1.4455626481950288
2023-05-25,2.0869188117591535,4.8461999515138485,9.626055135383975,-0.00120545428869967,1.559690440139419e-06,14.697232675670866,train,1.5168244441465981
2023-05-26,2.176665747066391,3.2517988220453087,18.28738325907232,0.0030974306846029975,8.724345622893323e-07,14.496350174327333,train,1.5828085744385774
2023-05-29,1.489078543515549,2.9471242406871316,12.20525909527521,-0.006401214665674004,9.25455080830049e-07,14.72348143404087,train,1.5742876625364841
2023-05-30,1.9193066567634856,3.4111967317409175,17.134027502094497,0.0037364457218327374,1.305583440267952e-06,14.822084611412208,train,1.603039245388734
2023-05-31,1.784464333493218,3.6460434881475114,21.265606302206756,-0.005234079315791007,1.0503531236607412e-06,14.74458813175256,train,1.6169950213967714
2023-06-01,1.651711041991292,2.929608802005371,22.31827558254293,0.0028819740017542728,1.198633266264486e-06,14.788310108132906,train,1.6194747371535227
2023-06-02,1.0111441130331977,2.1753831976785354,29.75985983963141,0.007907831429546874,7.077000633596824e-07,14.793553822873003,train,1.5789193622121678
2023-06-05,1.2705802775196853,2.3232019403633606,4.907998528020497,0.0014150349309360877,5.332289492865398e-07,14.519502057937173,train,1.5596481694188877
2023-06-06,1.655982014574523,2.992778712000786,6.953831418364409,-0.007315248578354527,1.0213086647288631e-06,14.7119386206993,train,1.5653148661927485
2023-06-07,2.313113436525394,4.008125629165342,8.20641373546957,-0.0072152703498140625,1.0313826923392425e-06,14.525828825041321,train,1.6068592312112289
2023-06-08,2.8599084263800654,4.940530658965279,31.371573285356696,0.007532697287416568,1.3968462456040855e-06,14.652804080276606,train,1.6728091888516938
2023-06-09,1.6916057257700345,3.367620725195134,13.571678841104646,0.0036537307702335653,9.57886428361002e-07,14.835929345669358,train,1.6737490156976111
2023-06-12,1.4578796725071252,3.8623077708588096,5.52405195262652,0.005558526988675538,7.844921966998602e-07,14.812888976403562,train,1.6393542952822293
2023-06-13,2.0564157782094292,2.341886141413084,82.30066998584135,0.004554059242826369,5.65628394597678e-07,14.569238516506656,train,1.674805530127061
2023-06-14,0.8807481530774297,1.6555139400802665,24.07409344537619,-0.0019062959594222662,5.652084384931205e-07,14.762100342618576,train,1.664558762414736
2023-06-15,1.1717900333961866,2.9711208151853006,16.222345322537738,0.012321118934025321,6.673900156632309e-07,14.903180754464826,train,1.6607943296053793
2023-06-16,0.40206358352842514,1.6613198848523338,8.835478379421533,0.007216863893580339,5.34203879728906e-07,14.92902219838499,train,1.6038988563196905
2023-06-19,1.0225584249291635,1.6419935271941644,65.41590192625267,-0.003492297825507862,3.678625500526695e-07,14.88009686868603,train,1.5627961690860288
2023-06-20,1.3208484975883261,2.4402178327938646,38.30025286286503,-0.002263888391315305,4.2076084043719827e-07,14.664501378198514,train,1.5806983227777944
2023-06-21,1.9541376909933081,3.2108471339847826,71.09692197078985,-0.01356177800587055,6.967287218284062e-07,14.661219455764188,train,1.6088460481310691
2023-06-26,2.6209741293413855,5.0108053688525365,45.08767366653088,-0.005595289470923248,1.162270890858375e-06,14.743455355114488,train,1.6355488140101808
2023-06-27,1.8601709895493994,3.3958042478815553,6.900056677158155,0.008352023199639902,7.298269242589192e-07,14.630035362896862,train,1.6197240761343312
2023-06-28,2.4754178764247516,3.980940418912473,31.29486150882949,0.0017535419857654944,7.916973093588949e-07,14.473860062502482,train,1.6690410427797915
2023-06-29,1.584004017009356,2.6149304110697615,6.857970318233798,-0.0030929838469777593,4.966076164910899e-07,14.525195947477728,train,1.6522759107920848
2023-06-30,1.2764701658027937,2.81568202098103,5.45213095024059,0.006153571587731221,7.153426965320945e-07,14.588030618706927,train,1.6268762024075634
2023-07-03,0.9407473193092185,2.053541658195323,6.342475638076527,0.006375727316438429,6.153188243794349e-07,14.798660016993919,train,1.59132801627346
2023-07-04,1.1767796198571456,2.7132707160457197,13.519317026894532,0.00485205371688302,3.951889892307293e-07,14.638586500351227,train,1.5996097916146574
2023-07-05,1.4779236025958822,2.552838983415306,28.66573300216549,-0.0069462393013690615,3.5419597767629117e-07,14.411969819064907,train,1.6099769578684673
2023-07-06,1.2554818013298266,2.27871829924922,15.897556525111277,-0.005195969573925652,4.941245225481101e-07,14.465960921056109,train,1.5899519472062322
2023-07-07,1.8063371504872248,2.9197822226869605,11.650896802202482,-0.001751452243105689,5.311714852933586e-07,14.385153847490459,train,1.564613132904324
2023-07-10,1.508591417928161,2.477285665836242,6.367780678802123,-0.000452486594980428,5.814508091479065e-07,14.459852857219515,train,1.4970472824817287
2023-07-11,1.468499259148244,2.617377635523663,4.504914098990911,0.003871771393868073,4.245223535558863e-07,14.345604726478303,train,1.485891959150639
2023-07-12,1.4820230320783307,2.4962523794355005,42.01436657988905,-0.003758515955489372,4.6295946753845443e-07,14.493725409305123,train,1.4870991271291993
2023-07-13,0.3824451672235559,1.6920118227450558,7.819423849584572,0.008003189346615258,5.292768088243158e-07,14.694927795222698,train,1.4034005965799057
2023-07-14,0.542075492908111,1.2678359588027597,21.557179722332155,-0.0010172806689787706,3.1767412425231183e-07,14.557514603312608,train,1.38646696357144
2023-07-17,1.3611886858412037,2.1599788942827476,16.70162950202309,0.0003716064092635918,2.825375833817991e-07,14.292477064343672,train,1.3959368961936907
2023-07-18,1.2630056173153088,2.396019310736517,9.909839205760635,-0.002233337115368883,3.7583076341387344e-07,14.378213308820333,train,1.4389839978830348
2023-07-19,1.8049885145303157,2.310181314382072,39.551281906806004,-0.0016955046604198998,5.263413335035958e-07,14.304910409432027,train,1.4781055023630922
2023-07-20,1.424485036884778,3.685128984246146,16.684715630152716,-0.010715704998482067,6.613730764440445e-07,14.41021405944584,train,1.483287329327915
2023-07-21,1.8602357354925192,2.926005683358596,18.80733771668816,0.0006763827648192944,7.623988022580628e-07,14.436907748982117,train,1.4785922315528757
2023-07-24,1.8299292187391039,2.707564943605218,9.219716417608003,0.0003816538115106738,4.527286355300919e-07,14.272473160599375,train,1.4390399860227614
2023-07-25,0.3148234703344925,1.5241873063557758,30.771207134678413,0.010273723807953772,4.542360100676566e-07,15.012297531267517,train,1.361772610062016
2023-07-26,1.1040982420640566,1.1212088218064582,100.46524833371379,-0.0006030411386781509,3.3021893419668544e-07,14.568044182416651,train,1.2932066283439814
2023-07-27,0.5548591282128779,1.2781522474365392,11.9194312492771,-0.004011448766039649,4.367480255298698e-07,14.678833998537748,train,1.2417493839041576
