,MarketLSI,MarketLSI_p95,IndexRet,IndexRV,MarketRelAmt,Stress_H5,Stress_H10
MarketLSI,1.0,0.9078855027510323,-0.12257074298782623,0.7385847745620185,-0.1095007949097308,0.92319715559146,0.9080450335385354
MarketLSI_p95,0.9078855027510323,1.0,-0.11528539145871237,0.8537112846019146,0.18478655842546374,0.8975107604558777,0.9029535206189907
IndexRet,-0.12257074298782623,-0.11528539145871237,1.0,-0.1092282438989538,0.09303962897511353,-0.06982105495614885,-0.0622479794504392
IndexRV,0.7385847745620185,0.8537112846019146,-0.1092282438989538,1.0,0.4716546994864157,0.8039273379780745,0.8235000123891346
MarketRelAmt,-0.1095007949097308,0.18478655842546374,0.09303962897511353,0.4716546994864157,1.0,0.10021416596136694,0.15088835955044338
Stress_H5,0.92319715559146,0.8975107604558777,-0.06982105495614885,0.8039273379780745,0.10021416596136694,1.0,0.996839746901594
Stress_H10,0.9080450335385354,0.9029535206189907,-0.0622479794504392,0.8235000123891346,0.15088835955044338,0.996839746901594,1.0
