slot,LSI_5_mean,LSI_10_mean
1,,
2,,
3,,
4,,
5,,
6,0.668605322132749,
7,0.5079798527294827,
8,0.4650114740852718,
9,0.43571297821018407,
10,0.41028434233691485,
11,0.40546812109081704,0.4480889608459611
12,0.39613482476991757,0.3666703001780486
13,0.37322701279004145,0.3014163789911896
14,0.3681270816140062,0.2583399164270135
15,0.4077385417210559,0.25622572210251154
16,0.41719223829445673,0.27145297232913823
17,0.4429248383801697,0.27686218226946785
18,0.4125699774556129,0.2756173826789448
19,0.39120782855744785,0.24699989837329495
20,0.3966649556509064,0.2432137010898357
21,0.38457742528354566,0.21452746048171847
22,0.36799756184453414,0.21662188064571342
23,0.387177185701357,0.23214246759121054
24,0.39555085484091945,0.24503993681729777
25,0.4309561925378845,0.24388015967063784
26,0.419849167379094,0.23662775042058837
27,0.42518850920317347,0.2426881271948741
28,0.4405170877045459,0.2388349853730767
29,0.43090401068563755,0.23316324554936632
30,0.38863990415074073,0.2157076598206178
31,0.36217415133790337,0.21294538771486565
32,0.329982460299844,0.20296466765846113
33,0.30373526654968264,0.19982119689886454
34,0.3155762240677767,0.19097279922719168
35,0.34055506234831606,0.18344443667184956
36,0.3812481259912193,0.18677873770508777
37,0.42728208642361204,0.19578559711372054
38,0.4297488325911435,0.1900068376661166
39,0.4463167800961614,0.19387883333853165
40,0.43472385704298255,0.19708859205465726
41,0.4342581900107197,0.2215396677614211
42,0.42933647012067816,0.24457704329025975
43,0.44998269442088995,0.2642368849633557
44,0.43203549609585284,0.2723991355037194
45,0.459731327332411,0.2603549279805691
46,0.510006785753948,0.2806774940145005
47,0.5076192818326286,0.28351263917007985
48,0.4795541986916483,0.29135548320851673
49,0.4901366398903043,0.2900002518013675
50,0.5113034675802565,0.2993643289945045
51,0.4677084251295498,0.3127959165706434
52,0.46403078996301195,0.3117957002727244
53,0.47885995463459824,0.2964903925728543
54,0.47040277211207326,0.30899525874534545
55,0.461909027279553,0.31568096734264733
56,0.4957618923727179,0.2968363407199769
57,0.4728645677934611,0.29548378790190494
58,0.5004002260387834,0.2895364862513039
59,0.5213622501450225,0.2945182265349139
60,0.5169007968602995,0.281271003433687
61,0.4755711126457861,0.2974545353238383
62,0.49923917268174073,0.29983136649523207
63,0.49059181736483315,0.291484628097445
64,0.506807470976886,0.31178858092586414
65,0.5438357159909174,0.3340059747759432
66,0.5764726332835115,0.33228200673792146
67,0.6151423390578692,0.3627751991168099
68,0.665266958640569,0.40071663188501194
69,0.7044234584555169,0.42615454003317077
70,0.7516949205509573,0.47334421278175715
71,0.8294143696267676,0.5370862922318405
72,0.9007514739179934,0.599578147456467
73,0.8795105698577881,0.621086116206591
74,0.8812867582525274,0.6456302262675973
75,0.8490310980151512,0.646040126901567
76,0.7678170503359675,0.634818196949613
77,0.6759689640825516,0.6190525477148423
78,0.6478384212869194,0.5865396827630273
79,0.6305817313757515,0.5795920793431203
80,0.6030089038715306,0.5566983755263463
81,0.6026170098419802,0.5099086943260897
82,0.5896490602515667,0.4556089379860092
83,0.6240274675541663,0.4503406548512646
84,0.6416019570035156,0.44631577666551564
85,0.6289947805416067,0.4322047830578893
86,0.6519115804132325,0.44651894506357903
87,0.6139385705878958,0.41626871443741953
88,0.6043398389006389,0.4319541550939504
89,0.5759852464047462,0.423749143502035
90,0.5816662319041436,0.4216985299779778
91,0.5787688017532504,0.43043149636040795
92,0.5985876823716805,0.41190636364556293
93,0.566874728621044,0.4121828200949727
94,0.5855275201970235,0.4001530787656037
95,0.6088987371777782,0.40355777584215835
96,0.6344342802668221,0.4111777684310438
