code,rows,date_count,LSI_5_mean,LSI_5_std,Stress_H5_rate
000002.SZ,173857,725,4.0852921905559505,20.733046895408478,0.23611144721508026
000063.SZ,173964,725,0.916468013914171,6.223411741138316,0.08788274973630905
000333.SZ,173933,725,-0.10379640569376587,5.33164271602774,0.06456083059310913
000568.SZ,173830,725,0.7962946422413206,4.39218996060008,0.07273542135953903
000651.SZ,173910,725,-0.013906141145117127,4.482440742309929,0.0597245879471302
000661.SZ,173655,725,1.1134670147636432,7.472574305563453,0.09792975336313248
000725.SZ,173961,725,0.9691307743823886,17.034994814742227,0.048257242888212204
000792.SZ,173739,725,0.7362584455589092,6.337589385364108,0.08893393725156784
000858.SZ,173938,725,0.4716334002998795,7.2285593816625155,0.06581926345825195
000895.SZ,173494,725,0.808574282387549,4.760088278329613,0.07122280448675156
002027.SZ,173820,725,0.8962746650548076,14.602738023646463,0.05874652415513992
002304.SZ,173549,725,1.2730873516208019,5.781791750663692,0.09502825886011124
002352.SZ,173737,725,-0.014166147413588927,4.5021491495230865,0.07082027941942215
002371.SZ,173800,725,0.638997322813351,4.567405181147684,0.07703482359647751
002415.SZ,173872,725,0.39586644386662884,4.807762874704667,0.07646985352039337
002460.SZ,173869,725,1.7487367195156411,8.345728503164747,0.1363060474395752
002475.SZ,173963,725,0.0810333860803204,7.190026305226271,0.06983480602502823
002594.SZ,173908,725,0.07988501995186881,4.971407178147905,0.06774283945560455
002812.SZ,171355,715,1.8965215025850124,6.334809140490084,0.1431906372308731
300014.SZ,173783,725,0.8661875480030669,6.869064543390815,0.09893697500228882
300015.SZ,173736,725,1.5361824412001073,13.273177098231828,0.0838342010974884
300059.SZ,173931,725,2.0247819436448893,20.556411380389097,0.10626859217882156
300122.SZ,168832,705,1.6656363061778408,7.753505335597847,0.10080806165933609
300124.SZ,173688,725,0.02223263428319896,6.644898570331531,0.06808923184871674
300274.SZ,173886,725,0.7802377442753481,8.620771508957429,0.09809334576129913
300498.SZ,173589,725,0.544072853021322,7.261034176201141,0.06898553669452667
300750.SZ,173946,725,0.5087817305426452,6.058481412263434,0.0761135071516037
300760.SZ,173602,725,0.3494822383232744,5.859209077097562,0.06508974730968475
600009.SH,172783,724,0.8317887478918724,5.572994778254722,0.08179664611816406
600011.SH,172868,724,0.9342467214478984,8.698814731892307,0.07123416662216187
600018.SH,172670,724,0.6580545942957948,6.573985554372463,0.06661675870418549
600019.SH,172825,724,0.8082921603399067,15.001025748319902,0.05754956975579262
600028.SH,172951,724,1.6919395805744388,28.001311217170212,0.07245168834924698
600030.SH,173102,724,0.9926998422953085,12.057826101129466,0.08346515893936157
600031.SH,173047,724,0.7220715159071496,9.395021000432587,0.07103393226861954
