slot,LSI_5_mean,LSI_5_q25,LSI_5_q50,LSI_5_q75
6,0.9891839786373523,-1.7972778314934779,-0.2028510295325319,1.8993630449918801
7,0.4197484625849237,-1.8997753840513725,-0.27767404469101525,1.7894633459040148
8,0.5176883438700446,-1.91082945691064,-0.3109853802970983,1.745903559169445
9,0.44315313436597215,-1.9442770758824857,-0.31095713767002753,1.8148694967613639
10,0.4823246969583763,-1.885803787957245,-0.2620548222636785,1.7253372376844693
11,0.4380170332113145,-1.9040084497017955,-0.2961064841258546,1.819369996934181
12,0.4321586228654732,-1.9004861507699014,-0.24993871474757418,1.8244648389113118
13,0.4863238930764219,-1.9361179412655283,-0.29187519351402685,1.8802232484189716
14,0.3873256369706735,-1.8554063970626276,-0.29262156364812764,1.7530505071210574
15,0.42285826009618377,-1.861881971255091,-0.26140168460409885,1.8652529886134617
16,0.4790956076383912,-1.811816331800218,-0.21375012362227108,1.7754510850515322
17,0.4489326414084295,-1.8047627397668171,-0.2551474196389477,1.8198457437418147
18,0.39048492623770786,-1.8881838507681903,-0.21269619159859676,1.806858541096918
19,0.46036575670815744,-1.9557661941514075,-0.30634806702521944,1.7609651763177194
20,0.4267994456157837,-1.9231269453666069,-0.25294730765176743,1.8789743902845673
21,0.40751976862755723,-1.873098990770559,-0.2466155556332912,1.776511033852758
22,0.41647768218883613,-1.8819371270297072,-0.27129416437202303,1.844992829774569
23,0.43282103087014256,-1.8629632548478543,-0.2614980103875527,1.883807193725347
24,0.4127134529495055,-1.8624624215757808,-0.25380973265464746,1.761830839823432
25,0.4779043743031896,-1.862308120235515,-0.18919748290658767,1.9098361296711102
26,0.41088971572271876,-1.8827598166913337,-0.30847144711753915,1.6453472480772096
27,0.3624005790752035,-1.9827247649906878,-0.30434984280922034,1.8280837272682988
28,0.4810009607678895,-1.9914393383446343,-0.2991019489902407,1.8350886562325281
29,0.3882061237345626,-1.9301540129447916,-0.30730413604930384,1.8223306276626876
