horizon,model,feature_group,recall,precision,event_rate
H5,Naive,P,0.0,0.0,0.02871772305677869
H5,Naive,P,0.0,0.0,0.02871772305677869
H5,Naive,P,0.0014517960585893142,0.02496909765142151,0.02871772305677869
H5,Naive,P,0.0020123905762624156,0.01730745456793176,0.02871772305677869
H5,Naive,P,0.0026448561859448894,0.015165251792631666,0.02871772305677869
H5,Naive,P,0.003492935071655479,0.015020398071455063,0.02871772305677869
H5,Naive,P,0.004470381922982938,0.015379289882306399,0.02871772305677869
H5,Naive,P,0.005663442050338513,0.01623670979971977,0.02871772305677869
H5,Naive,P,0.007172734982535325,0.017626280466266336,0.02871772305677869
H5,Naive,P,0.00872515056993776,0.018760624323906662,0.02871772305677869
H5,Naive,P,0.01003320444450833,0.01917635099865381,0.02871772305677869
H5,Naive,P,0.011211890353462031,0.019286403085824494,0.02871772305677869
H5,Naive,P,0.012620563756845721,0.01973610268168229,0.02871772305677869
H5,Naive,P,0.014230476217855654,0.020398912058023574,0.02871772305677869
H5,Naive,P,0.016170995702108698,0.021397595861229458,0.02871772305677869
H5,Naive,P,0.017694662852707384,0.0217414341222183,0.02871772305677869
H5,Naive,P,0.01918958156650232,0.022006461822497693,0.02871772305677869
H5,Naive,P,0.020698874498699133,0.02225347324174381,0.02871772305677869
H5,Naive,P,0.022740013511765297,0.023009905022326298,0.02871772305677869
H5,Naive,P,0.024752404088027712,0.023654820940423368,0.02871772305677869
H5,Naive,P,0.026232948583420776,0.023750341614502676,0.02871772305677869
H5,Naive,P,0.0286909399301413,0.024676705486734417,0.02871772305677869
H5,Naive,P,0.03040147191996435,0.024902861179795125,0.02871772305677869
H5,Naive,P,0.03235636562261927,0.02529952570413829,0.02871772305677869
H5,Naive,P,0.03494372493495666,0.026134726612053582,0.02871772305677869
H5,Naive,P,0.037013612384826575,0.02652916147244573,0.02871772305677869
H5,Naive,P,0.038796015466659,0.026694491973849488,0.02871772305677869
H5,Naive,P,0.041397748997398266,0.027389183174672614,0.02871772305677869
H5,Naive,P,0.04382699190731504,0.027922523925088146,0.02871772305677869
H5,Naive,P,0.046558093403671175,0.028602967149417166,0.02871772305677869
H5,Naive,P,0.049102330060802946,0.02912588247331264,0.02871772305677869
H5,Naive,P,0.051689689373140335,0.029638665435843335,0.02871772305677869
H5,Naive,P,0.053903319007028994,0.02991098490891108,0.02871772305677869
H5,Naive,P,0.0561456970777214,0.03018150629360903,0.02871772305677869
H5,Naive,P,0.05837370093001193,0.030428364840665065,0.02871772305677869
H5,Naive,P,0.06063045321910621,0.030675248172793716,0.02871772305677869
H5,Naive,P,0.06311719300263048,0.03102105984500067,0.02871772305677869
H5,Naive,P,0.0660782819934166,0.03157410332843386,0.02871772305677869
H5,Naive,P,0.06947059753625896,0.03229794570897766,0.02871772305677869
H5,Naive,P,0.07228794434302635,0.03272341588474903,0.02871772305677869
