horizon,label_aligned_recall,practical_window_recall,daily_false_alarms_top5pct,false_alarms_per_detected_event_top5pct,average_lead_time,median_lead_time,budget_setting,budget_practical_recall,budget_practical_false_alarms_per_detected,recommended_main_metric
H5,0.284044,0.440905,733.165517,18.696623,8.061379,9.0,daily_top_50,0.072482,3.110204,daily_top_50 practical recall with false alarms per detected event
H10,0.369265,0.529577,654.696552,16.495395,11.390269,13.0,daily_top_50,0.150121,1.540426,daily_top_50 practical recall with false alarms per detected event
