task,horizon,period,feature_group,model,top_frac,hit_rate,lift
onset,H5,test,M,SMARTBoost,0.050000,0.120000,2.566203
onset,H5,test,M,SMARTBoost,0.100000,0.125000,2.673128
onset,H5,test,M,SMARTBoost,0.200000,0.135000,2.886979
onset,H5,test,C,Logit,0.010000,0.025000,0.534626
onset,H5,test,C,Logit,0.050000,0.035000,0.748476
onset,H5,test,C,Logit,0.100000,0.047500,1.015789
onset,H5,test,C,Logit,0.200000,0.052500,1.122714
onset,H5,test,C,LightGBM,0.010000,0.100000,2.138503
onset,H5,test,C,LightGBM,0.050000,0.120000,2.566203
onset,H5,test,C,LightGBM,0.100000,0.125000,2.673128
onset,H5,test,C,LightGBM,0.200000,0.135000,2.886979
onset,H5,test,C,SMARTBoost,0.010000,0.100000,2.138503
onset,H5,test,C,SMARTBoost,0.050000,0.120000,2.566203
onset,H5,test,C,SMARTBoost,0.100000,0.125000,2.673128
onset,H5,test,C,SMARTBoost,0.200000,0.135000,2.886979
onset,H5,test,ALL,Logit,0.010000,0.025000,0.534626
onset,H5,test,ALL,Logit,0.050000,0.045000,0.962326
onset,H5,test,ALL,Logit,0.100000,0.067500,1.443489
onset,H5,test,ALL,Logit,0.200000,0.075000,1.603877
onset,H5,test,ALL,LightGBM,0.010000,0.100000,2.138503
onset,H5,test,ALL,LightGBM,0.050000,0.120000,2.566203
onset,H5,test,ALL,LightGBM,0.100000,0.125000,2.673128
onset,H5,test,ALL,LightGBM,0.200000,0.135000,2.886979
onset,H5,test,ALL,SMARTBoost,0.010000,0.100000,2.138503
onset,H5,test,ALL,SMARTBoost,0.050000,0.120000,2.566203
onset,H5,test,ALL,SMARTBoost,0.100000,0.125000,2.673128
onset,H5,test,ALL,SMARTBoost,0.200000,0.135000,2.886979
onset,H10,validation,P,Naive,0.010000,0.050000,0.724457
onset,H10,validation,P,Naive,0.050000,0.045000,0.652011
onset,H10,validation,P,Naive,0.100000,0.047500,0.688234
onset,H10,validation,P,Naive,0.200000,0.072500,1.050462
onset,H10,validation,M,Naive,0.010000,0.050000,0.724457
onset,H10,validation,M,Naive,0.050000,0.045000,0.652011
onset,H10,validation,M,Naive,0.100000,0.047500,0.688234
onset,H10,validation,M,Naive,0.200000,0.072500,1.050462
onset,H10,validation,C,Naive,0.010000,0.050000,0.724457
onset,H10,validation,C,Naive,0.050000,0.045000,0.652011
onset,H10,validation,C,Naive,0.100000,0.047500,0.688234
onset,H10,validation,C,Naive,0.200000,0.072500,1.050462
onset,H10,validation,ALL,Naive,0.010000,0.050000,0.724457
onset,H10,validation,ALL,Naive,0.050000,0.045000,0.652011
onset,H10,validation,ALL,Naive,0.100000,0.047500,0.688234
onset,H10,validation,ALL,Naive,0.200000,0.072500,1.050462
onset,H10,validation,P,Logit,0.010000,0.000000,0.000000
onset,H10,validation,P,Logit,0.050000,0.005000,0.072446
onset,H10,validation,P,Logit,0.100000,0.070000,1.014239
onset,H10,validation,P,Logit,0.200000,0.122500,1.774918
onset,H10,validation,P,LightGBM,0.010000,0.050000,0.724457
onset,H10,validation,P,LightGBM,0.050000,0.120000,1.738696
onset,H10,validation,P,LightGBM,0.100000,0.145000,2.100924
onset,H10,validation,P,LightGBM,0.200000,0.161250,2.336372
onset,H10,validation,P,SMARTBoost,0.010000,0.050000,0.724457
onset,H10,validation,P,SMARTBoost,0.050000,0.120000,1.738696
onset,H10,validation,P,SMARTBoost,0.100000,0.145000,2.100924
onset,H10,validation,P,SMARTBoost,0.200000,0.161250,2.336372
onset,H10,validation,M,Logit,0.010000,0.000000,0.000000
onset,H10,validation,M,Logit,0.050000,0.025000,0.362228
onset,H10,validation,M,Logit,0.100000,0.070000,1.014239
onset,H10,validation,M,Logit,0.200000,0.091250,1.322133
onset,H10,validation,M,LightGBM,0.010000,0.050000,0.724457
onset,H10,validation,M,LightGBM,0.050000,0.120000,1.738696
onset,H10,validation,M,LightGBM,0.100000,0.145000,2.100924
onset,H10,validation,M,LightGBM,0.200000,0.161250,2.336372
onset,H10,validation,M,SMARTBoost,0.010000,0.050000,0.724457
onset,H10,validation,M,SMARTBoost,0.050000,0.120000,1.738696
onset,H10,validation,M,SMARTBoost,0.100000,0.145000,2.100924
onset,H10,validation,M,SMARTBoost,0.200000,0.161250,2.336372
onset,H10,validation,C,Logit,0.010000,0.050000,0.724457
onset,H10,validation,C,Logit,0.050000,0.080000,1.159130
onset,H10,validation,C,Logit,0.100000,0.102500,1.485136
onset,H10,validation,C,Logit,0.200000,0.110000,1.593804
onset,H10,validation,C,LightGBM,0.010000,0.050000,0.724457
onset,H10,validation,C,LightGBM,0.050000,0.120000,1.738696
onset,H10,validation,C,LightGBM,0.100000,0.145000,2.100924
onset,H10,validation,C,LightGBM,0.200000,0.161250,2.336372
onset,H10,validation,C,SMARTBoost,0.010000,0.050000,0.724457
onset,H10,validation,C,SMARTBoost,0.050000,0.120000,1.738696
onset,H10,validation,C,SMARTBoost,0.100000,0.145000,2.100924
onset,H10,validation,C,SMARTBoost,0.200000,0.161250,2.336372
onset,H10,validation,ALL,Logit,0.010000,0.025000,0.362228
onset,H10,validation,ALL,Logit,0.050000,0.080000,1.159130
onset,H10,validation,ALL,Logit,0.100000,0.127500,1.847364
onset,H10,validation,ALL,Logit,0.200000,0.123750,1.793030
onset,H10,validation,ALL,LightGBM,0.010000,0.050000,0.724457
onset,H10,validation,ALL,LightGBM,0.050000,0.120000,1.738696
onset,H10,validation,ALL,LightGBM,0.100000,0.145000,2.100924
onset,H10,validation,ALL,LightGBM,0.200000,0.161250,2.336372
onset,H10,validation,ALL,SMARTBoost,0.010000,0.050000,0.724457
onset,H10,validation,ALL,SMARTBoost,0.050000,0.120000,1.738696
onset,H10,validation,ALL,SMARTBoost,0.100000,0.145000,2.100924
onset,H10,validation,ALL,SMARTBoost,0.200000,0.161250,2.336372
onset,H10,test,P,Naive,0.010000,0.025000,0.392059
onset,H10,test,P,Naive,0.050000,0.020000,0.313647
onset,H10,test,P,Naive,0.100000,0.022500,0.352853
onset,H10,test,P,Naive,0.200000,0.058750,0.921338
onset,H10,test,M,Naive,0.010000,0.025000,0.392059
onset,H10,test,M,Naive,0.050000,0.020000,0.313647
onset,H10,test,M,Naive,0.100000,0.022500,0.352853
onset,H10,test,M,Naive,0.200000,0.058750,0.921338
onset,H10,test,C,Naive,0.010000,0.025000,0.392059
onset,H10,test,C,Naive,0.050000,0.020000,0.313647
onset,H10,test,C,Naive,0.100000,0.022500,0.352853
onset,H10,test,C,Naive,0.200000,0.058750,0.921338
onset,H10,test,ALL,Naive,0.010000,0.025000,0.392059
onset,H10,test,ALL,Naive,0.050000,0.020000,0.313647
onset,H10,test,ALL,Naive,0.100000,0.022500,0.352853
onset,H10,test,ALL,Naive,0.200000,0.058750,0.921338
onset,H10,test,P,Logit,0.010000,0.025000,0.392059
onset,H10,test,P,Logit,0.050000,0.105000,1.646647
onset,H10,test,P,Logit,0.100000,0.125000,1.960294
onset,H10,test,P,Logit,0.200000,0.133750,2.097515
onset,H10,test,P,LightGBM,0.010000,0.075000,1.176176
onset,H10,test,P,LightGBM,0.050000,0.140000,2.195529
