task,horizon,period,feature_group,model,status,rows,event_rate,PR_AUC,ROC_AUC,Brier,Top1_hit_rate,Top1_lift,Top5_hit_rate,Top5_lift,Top10_hit_rate,Top10_lift,Top20_hit_rate,Top20_lift,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence
onset,H5,test,ALL,LightGBM,OK,3999,0.046762,0.046762,0.500000,0.250000,0.100000,2.138503,0.120000,2.566203,0.125000,2.673128,0.135000,2.886979,-0.015247,2.459278,2.352353
onset,H5,test,ALL,SMARTBoost,OK,3999,0.046762,0.046762,0.500000,0.250000,0.100000,2.138503,0.120000,2.566203,0.125000,2.673128,0.135000,2.886979,-0.015247,2.459278,2.352353
onset,H10,validation,P,Naive,OK,3999,0.069017,0.103424,0.700820,0.288340,0.050000,0.724457,0.045000,0.652011,0.047500,0.688234,0.072500,1.050462,0.000000,0.000000,0.000000
onset,H10,validation,M,Naive,OK,3999,0.069017,0.103424,0.700820,0.288340,0.050000,0.724457,0.045000,0.652011,0.047500,0.688234,0.072500,1.050462,0.000000,0.000000,0.000000
onset,H10,validation,C,Naive,OK,3999,0.069017,0.103424,0.700820,0.288340,0.050000,0.724457,0.045000,0.652011,0.047500,0.688234,0.072500,1.050462,0.000000,0.000000,0.000000
onset,H10,validation,ALL,Naive,OK,3999,0.069017,0.103424,0.700820,0.288340,0.050000,0.724457,0.045000,0.652011,0.047500,0.688234,0.072500,1.050462,0.000000,0.000000,0.000000
onset,H10,validation,P,Logit,OK,3999,0.069017,0.098752,0.649094,0.239859,0.000000,0.000000,0.005000,0.072446,0.070000,1.014239,0.122500,1.774918,-0.004672,-0.579565,0.326005
onset,H10,validation,P,LightGBM,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,validation,P,SMARTBoost,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,validation,M,Logit,OK,3999,0.069017,0.083534,0.598545,0.206887,0.000000,0.000000,0.025000,0.362228,0.070000,1.014239,0.091250,1.322133,-0.019891,-0.289783,0.326005
onset,H10,validation,M,LightGBM,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,validation,M,SMARTBoost,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,validation,C,Logit,OK,3999,0.069017,0.098281,0.648109,0.161292,0.050000,0.724457,0.080000,1.159130,0.102500,1.485136,0.110000,1.593804,-0.005144,0.507120,0.796902
onset,H10,validation,C,LightGBM,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,validation,C,SMARTBoost,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,validation,ALL,Logit,OK,3999,0.069017,0.106911,0.663783,0.179286,0.025000,0.362228,0.080000,1.159130,0.127500,1.847364,0.123750,1.793030,0.003486,0.507120,1.159130
onset,H10,validation,ALL,LightGBM,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,validation,ALL,SMARTBoost,OK,3999,0.069017,0.069017,0.500000,0.250000,0.050000,0.724457,0.120000,1.738696,0.145000,2.100924,0.161250,2.336372,-0.034407,1.086685,1.412690
onset,H10,test,P,Naive,OK,3999,0.063766,0.091565,0.685829,0.298989,0.025000,0.392059,0.020000,0.313647,0.022500,0.352853,0.058750,0.921338,0.000000,0.000000,0.000000
onset,H10,test,M,Naive,OK,3999,0.063766,0.091565,0.685829,0.298989,0.025000,0.392059,0.020000,0.313647,0.022500,0.352853,0.058750,0.921338,0.000000,0.000000,0.000000
onset,H10,test,C,Naive,OK,3999,0.063766,0.091565,0.685829,0.298989,0.025000,0.392059,0.020000,0.313647,0.022500,0.352853,0.058750,0.921338,0.000000,0.000000,0.000000
onset,H10,test,ALL,Naive,OK,3999,0.063766,0.091565,0.685829,0.298989,0.025000,0.392059,0.020000,0.313647,0.022500,0.352853,0.058750,0.921338,0.000000,0.000000,0.000000
onset,H10,test,P,Logit,OK,3999,0.063766,0.105217,0.652132,0.241865,0.025000,0.392059,0.105000,1.646647,0.125000,1.960294,0.133750,2.097515,0.013651,1.333000,1.607441
onset,H10,test,P,LightGBM,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
onset,H10,test,P,SMARTBoost,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
onset,H10,test,M,Logit,OK,3999,0.063766,0.088186,0.605656,0.227563,0.000000,0.000000,0.075000,1.176176,0.100000,1.568235,0.108750,1.705456,-0.003379,0.862529,1.215382
onset,H10,test,M,LightGBM,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
onset,H10,test,M,SMARTBoost,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
onset,H10,test,C,Logit,OK,3999,0.063766,0.114037,0.709827,0.193719,0.000000,0.000000,0.085000,1.333000,0.120000,1.881882,0.135000,2.117118,0.022471,1.019353,1.529029
onset,H10,test,C,LightGBM,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
onset,H10,test,C,SMARTBoost,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
onset,H10,test,ALL,Logit,OK,3999,0.063766,0.111955,0.705514,0.368870,0.000000,0.000000,0.075000,1.176176,0.120000,1.881882,0.132500,2.077912,0.020389,0.862529,1.529029
onset,H10,test,ALL,LightGBM,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
onset,H10,test,ALL,SMARTBoost,OK,3999,0.063766,0.063766,0.500000,0.250000,0.075000,1.176176,0.140000,2.195529,0.155000,2.430765,0.178750,2.803221,-0.027800,1.881882,2.077912
