horizon,model,feature_group,topk_threshold,top_frac,pressure_episodes,onset_positive_rows,top5_signal_count,top5_signal_minute_hits,top5_signal_minute_hit_rate,label_window_min_lead,label_window_max_lead,practical_window_min_lead,practical_window_max_lead,label_aligned_eligible_events,label_aligned_detected_events,label_aligned_event_recall,practical_eligible_events,practical_detected_events,practical_window_event_recall,average_lead_time,median_lead_time,practical_average_lead_time,practical_median_lead_time,daily_false_alarms,practical_daily_false_alarms,signals_per_day,events_per_day,false_alarms_per_detected_event,practical_false_alarms_per_detected_event,test_days,scored_rows
H5,LightGBM,ALL,0.707098,0.050000,21679,69569,121126,20882,0.172399,5,9,5,20,20018,5686,0.284044,20281,8942,0.440905,8.061379,9.000000,14.284724,15.000000,733.165517,595.144828,835.351724,149.510345,18.696623,9.650637,145,2422511
H10,LightGBM,ALL,0.711206,0.050000,16676,81011,117049,25508,0.217926,5,14,5,30,15585,5755,0.369265,15654,8290,0.529577,11.390269,13.000000,21.770205,24.000000,654.696552,521.344828,807.234483,115.006897,16.495395,9.118818,145,2340966
