task,horizon,period,feature_group,model,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence,comparison,metric,observed_delta,ci_low,ci_high,bootstrap_iterations,rows_used
continuation,H5,validation,ALL,LightGBM,-0.386564,-2.699325,-2.166125,,,,,,,
continuation,H5,validation,ALL,SMARTBoost,-0.386564,-2.699325,-2.166125,,,,,,,
continuation,H5,test,P,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,M,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,C,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,P,Logit,0.082411,0.401405,0.376317,,,,,,,
continuation,H5,test,P,LightGBM,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H5,test,P,SMARTBoost,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H5,test,M,Logit,0.038455,0.426493,0.175615,,,,,,,
continuation,H5,test,M,LightGBM,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H5,test,M,SMARTBoost,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H5,test,C,Logit,0.037950,0.401405,0.188159,,,,,,,
continuation,H5,test,C,LightGBM,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H5,test,C,SMARTBoost,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H5,test,ALL,Logit,0.053956,0.526844,0.351230,,,,,,,
continuation,H5,test,ALL,LightGBM,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H5,test,ALL,SMARTBoost,-0.563304,-3.286506,-3.023083,,,,,,,
continuation,H10,validation,P,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,M,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,C,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,P,Logit,0.095118,0.930000,0.713000,,,,,,,
continuation,H10,validation,P,LightGBM,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,validation,P,SMARTBoost,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,validation,M,Logit,0.039173,0.496000,0.294500,,,,,,,
continuation,H10,validation,M,LightGBM,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,validation,M,SMARTBoost,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,validation,C,Logit,0.030601,0.465000,0.248000,,,,,,,
continuation,H10,validation,C,LightGBM,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,validation,C,SMARTBoost,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,validation,ALL,Logit,0.000757,0.186000,0.139500,,,,,,,
continuation,H10,validation,ALL,LightGBM,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,validation,ALL,SMARTBoost,-0.375448,-2.728000,-2.123500,,,,,,,
continuation,H10,test,P,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,M,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,C,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,P,Logit,0.061474,0.359622,0.227761,,,,,,,
continuation,H10,test,P,LightGBM,-0.558075,-3.164676,-2.817041,,,,,,,
continuation,H10,test,P,SMARTBoost,-0.558075,-3.164676,-2.817041,,,,,,,
continuation,H10,test,M,Logit,0.042855,0.239748,0.203786,,,,,,,
continuation,H10,test,M,LightGBM,-0.558075,-3.164676,-2.817041,,,,,,,
continuation,H10,test,M,SMARTBoost,-0.558075,-3.164676,-2.817041,,,,,,,
continuation,H10,test,C,Logit,0.033461,0.239748,0.167824,,,,,,,
continuation,H10,test,C,LightGBM,-0.558075,-3.164676,-2.817041,,,,,,,
continuation,H10,test,C,SMARTBoost,-0.558075,-3.164676,-2.817041,,,,,,,
continuation,H10,test,ALL,Logit,0.008556,0.191799,0.059937,,,,,,,
continuation,H10,test,ALL,LightGBM,-0.558075,-3.164676,-2.817041,,,,,,,
continuation,H10,test,ALL,SMARTBoost,-0.558075,-3.164676,-2.817041,,,,,,,
onset,,,,,,,,H5 best_vs_naive,PR_AUC,0.004525,-0.004389,0.011783,10.000000,3999.000000
onset,,,,,,,,H5 best_vs_naive,Top5_lift,0.855401,0.301903,1.353534,10.000000,3999.000000
onset,,,,,,,,H5 M_vs_P_same_model,PR_AUC,-0.006201,-0.010207,-0.003078,10.000000,3999.000000
onset,,,,,,,,H5 M_vs_P_same_model,Top5_lift,0.213850,0.023351,0.416144,10.000000,3999.000000
onset,,,,,,,,H5 C_vs_P_same_model,PR_AUC,-0.006719,-0.011814,-0.000852,10.000000,3999.000000
onset,,,,,,,,H5 C_vs_P_same_model,Top5_lift,0.748476,0.240951,0.886288,10.000000,3999.000000
