task,horizon,period,feature_group,model,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence,comparison,metric,observed_delta,ci_low,ci_high,bootstrap_iterations,rows_used
continuation,H5,validation,ALL,SMARTBoost,0.254948,3.276231,0.770878,,,,,,,
continuation,H5,test,P,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,M,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,C,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H5,test,P,Logit,0.196807,2.714589,1.160146,,,,,,,
continuation,H5,test,P,LightGBM,0.220301,2.902639,1.144980,,,,,,,
continuation,H5,test,P,SMARTBoost,0.213416,2.857143,1.120716,,,,,,,
continuation,H5,test,M,Logit,0.188308,2.532605,1.060055,,,,,,,
continuation,H5,test,M,LightGBM,0.209706,2.902639,1.117683,,,,,,,
continuation,H5,test,M,SMARTBoost,0.206197,2.848044,1.143464,,,,,,,
continuation,H5,test,C,Logit,0.187686,2.529572,1.055505,,,,,,,
continuation,H5,test,C,LightGBM,0.207902,2.878374,1.128298,,,,,,,
continuation,H5,test,C,SMARTBoost,0.204643,2.841978,1.073703,,,,,,,
continuation,H5,test,ALL,Logit,0.208900,2.641796,1.164695,,,,,,,
continuation,H5,test,ALL,LightGBM,0.226152,2.860176,1.160146,,,,,,,
continuation,H5,test,ALL,SMARTBoost,0.215456,2.838944,1.169245,,,,,,,
continuation,H10,validation,P,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,M,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,C,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,validation,P,Logit,0.136451,1.868348,0.165550,,,,,,,
continuation,H10,validation,P,LightGBM,0.178924,2.026015,0.374458,,,,,,,
continuation,H10,validation,P,SMARTBoost,0.177614,2.093023,0.348837,,,,,,,
continuation,H10,validation,M,Logit,0.108936,1.430824,0.041387,,,,,,,
continuation,H10,validation,M,LightGBM,0.169875,2.041782,0.299566,,,,,,,
continuation,H10,validation,M,SMARTBoost,0.163770,2.010248,0.270004,,,,,,,
continuation,H10,validation,C,Logit,0.112154,1.411115,0.043358,,,,,,,
continuation,H10,validation,C,LightGBM,0.165706,2.053607,0.283800,,,,,,,
continuation,H10,validation,C,SMARTBoost,0.164242,1.994482,0.258179,,,,,,,
continuation,H10,validation,ALL,Logit,0.153598,1.746157,0.311391,,,,,,,
continuation,H10,validation,ALL,LightGBM,0.196064,2.211273,0.573512,,,,,,,
continuation,H10,validation,ALL,SMARTBoost,0.190793,2.136382,0.516358,,,,,,,
continuation,H10,test,P,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,M,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,C,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
continuation,H10,test,P,Logit,0.125937,1.788778,0.600478,,,,,,,
continuation,H10,test,P,LightGBM,0.145727,1.828154,0.556884,,,,,,,
continuation,H10,test,P,SMARTBoost,0.144792,1.777528,0.568134,,,,,,,
continuation,H10,test,M,Logit,0.111462,1.532836,0.417663,,,,,,,
continuation,H10,test,M,LightGBM,0.136016,1.771903,0.493601,,,,,,,
continuation,H10,test,M,SMARTBoost,0.133305,1.749402,0.496414,,,,,,,
continuation,H10,test,C,Logit,0.112332,1.538462,0.420475,,,,,,,
continuation,H10,test,C,LightGBM,0.133458,1.738152,0.462663,,,,,,,
continuation,H10,test,C,SMARTBoost,0.134197,1.752215,0.479539,,,,,,,
continuation,H10,test,ALL,Logit,0.139597,1.670651,0.575165,,,,,,,
continuation,H10,test,ALL,LightGBM,0.155102,1.783153,0.547040,,,,,,,
continuation,H10,test,ALL,SMARTBoost,0.153122,1.805653,0.563915,,,,,,,
onset,,,,,,,,H5 best_vs_naive,PR_AUC,0.103517,0.094774,0.116197,200.000000,80000.000000
onset,,,,,,,,H5 best_vs_naive,Top5_lift,4.938097,4.591551,5.346080,200.000000,80000.000000
onset,,,,,,,,H5 M_vs_P_same_model,PR_AUC,-0.010303,-0.016140,-0.003251,200.000000,80000.000000
onset,,,,,,,,H5 M_vs_P_same_model,Top5_lift,-0.099045,-0.523023,0.218666,200.000000,80000.000000
onset,,,,,,,,H5 C_vs_P_same_model,PR_AUC,-0.012608,-0.020095,-0.004984,200.000000,80000.000000
onset,,,,,,,,H5 C_vs_P_same_model,Top5_lift,-0.403254,-0.702562,-0.027007,200.000000,80000.000000
onset,,,,,,,,H5 ALL_vs_P_same_model,PR_AUC,0.025949,0.016526,0.035247,200.000000,80000.000000
onset,,,,,,,,H5 ALL_vs_P_same_model,Top5_lift,0.636717,0.274434,1.021946,200.000000,80000.000000
onset,,,,,,,,H10 best_vs_naive,PR_AUC,0.116207,0.106682,0.127804,200.000000,80000.000000
onset,,,,,,,,H10 best_vs_naive,Top5_lift,4.587258,4.193186,4.860992,200.000000,80000.000000
onset,,,,,,,,H10 M_vs_P_same_model,PR_AUC,-0.029518,-0.035828,-0.022350,200.000000,80000.000000
onset,,,,,,,,H10 M_vs_P_same_model,Top5_lift,-0.421053,-0.609575,-0.237570,200.000000,80000.000000
onset,,,,,,,,H10 C_vs_P_same_model,PR_AUC,-0.030222,-0.037465,-0.022730,200.000000,80000.000000
onset,,,,,,,,H10 C_vs_P_same_model,Top5_lift,-0.481994,-0.685223,-0.296905,200.000000,80000.000000
onset,,,,,,,,H10 ALL_vs_P_same_model,PR_AUC,0.010456,0.001524,0.022299,200.000000,80000.000000
onset,,,,,,,,H10 ALL_vs_P_same_model,Top5_lift,0.121884,-0.183644,0.427170,200.000000,80000.000000
