date,conditional_vol,high_risk_share,dynamic_skew,dynamic_kurtosis,MarketLSI,CrossStress
2023-05-15,0.3618641177055054,0.029787234042553193,,,2.1457740808147574,0.15313897399126525
2023-05-16,0.36406793193794407,0.01702127659574468,2.1936884670544132,17.327163841307215,1.3473910813127963,0.08951005230467474
2023-05-17,0.3491052838500432,0.01702127659574468,4.415646152642735,45.55332633366655,1.0856835073239275,0.08751551703051429
2023-05-18,0.3347901000941741,0.01702127659574468,4.5621244444309275,46.49996909626132,1.2470786895833175,0.10077467218771567
2023-05-19,0.4136372195993868,0.06382978723404255,4.092041249831754,39.43303509894769,1.5399730492422057,0.11893115942028987
2023-05-22,0.33881029469562846,0.01702127659574468,3.555394983347866,32.36377093094895,1.8446121696023987,0.11604230261529577
2023-05-23,0.3663265240594123,0.01702127659574468,3.766862153382078,34.305198392502255,0.9628054237530137,0.07090129402808155
2023-05-24,0.35302823143233564,0.01702127659574468,3.665678328648876,33.11758146583152,1.3911831839278141,0.0974252518169068
2023-05-25,0.41044978311499847,0.13617021276595745,3.8643546738068224,34.74450923415863,2.0869188117591535,0.13919466403162056
2023-05-26,0.33026235067307996,0.03404255319148936,3.514489456673752,30.609503624838684,2.176665747066391,0.1406023185294613
2023-05-29,0.3351378964768279,0.01702127659574468,4.133125588911501,40.35159163087121,1.489078543515549,0.09880850842521323
2023-05-30,0.3454789306968848,0.02127659574468085,4.3345315017299235,42.77231038093765,1.9193066567634856,0.13636059592581332
2023-05-31,0.3640747495538681,0.05531914893617021,4.304245076983077,42.82858917878584,1.784464333493218,0.127833850931677
2023-06-01,0.35673020922100945,0.03829787234042553,4.714147094088515,49.61393485687151,1.651711041991292,0.10431288819875777
2023-06-02,0.3885480500900473,0.01702127659574468,5.169485310768306,55.209183520557644,1.0111441130331977,0.07307509881422926
2023-06-05,0.32352771645170575,0.01702127659574468,5.41609189609039,58.301968269716255,1.2705802775196853,0.08857048748353095
2023-06-06,0.3124517232825596,0.00851063829787234,5.49437803825025,61.18427164148621,1.655982014574523,0.10582647588635061
2023-06-07,0.36969195700258695,0.05531914893617021,5.357970370874376,59.84663499810885,2.313113436525394,0.14387123745819397
2023-06-08,0.4426537279736146,0.1148936170212766,5.191056324993354,58.7271555238222,2.8599084263800654,0.17763443935926773
2023-06-09,0.35500882263699945,0.01702127659574468,5.598103542343355,63.12090409419621,1.6916057257700345,0.10808533447684392
2023-06-12,0.36384935355725945,0.0425531914893617,5.306121458625282,59.168787254359245,1.4578796725071252,0.10376290533662934
2023-06-13,0.3153728675172161,0.01276595744680851,5.151714669565477,58.47375844138323,2.0564157782094292,0.10382645541635961
2023-06-14,0.3812573758495922,0.01702127659574468,5.484771657399015,63.41540788630559,0.8807481530774297,0.07118365330321852
2023-06-15,0.39133156801567553,0.0425531914893617,5.216842316068807,59.0344140992906,1.1717900333961866,0.09381498193123776
2023-06-16,0.4452601317129546,0.13191489361702127,4.685566441155498,51.505241078092745,0.40206358352842514,0.05470527599396428
2023-06-19,0.3914268824318197,0.00425531914893617,4.520388461975039,49.84754042652932,1.0225584249291635,0.07229864575908766
2023-06-20,0.3695915495096546,0.02553191489361702,4.611136139665279,48.65998715297585,1.3208484975883261,0.07951291399754667
2023-06-21,0.36147867399469474,0.03829787234042553,4.896318047817502,49.88831525764349,1.9541376909933081,0.10173068764212742
2023-06-26,0.3996925524927822,0.1148936170212766,5.59585495023133,59.14714864240585,2.6209741293413855,0.1492094861660079
2023-06-27,0.3506919898265643,0.03829787234042553,5.406934363599011,57.09248776656855,1.8601709895493994,0.12629031818677128
2023-06-28,0.3570127199271414,0.03829787234042553,5.158051927002996,54.54519598067785,2.4754178764247516,0.14768280632411068
2023-06-29,0.32311014290489465,0.01702127659574468,5.351361278224304,56.55435231831763,1.584004017009356,0.11922504025764896
2023-06-30,0.3492019313589487,0.00851063829787234,4.79453316485893,49.554171699482566,1.2764701658027937,0.09819099378881987
2023-07-03,0.3444129369623432,0.00425531914893617,4.580609545495049,48.27848735802689,0.9407473193092185,0.078497733085329
2023-07-04,0.35421032694677457,0.03404255319148936,4.631809329923567,50.83120279142358,1.1767796198571456,0.08782522429261559
2023-07-05,0.3382404061842532,0.02127659574468085,4.77539661554121,52.62260618879786,1.4779236025958822,0.1087888198757764
2023-07-06,0.3589847826378663,0.03829787234042553,5.370262176680772,62.08458226319764,1.2554818013298266,0.08900694882027585
2023-07-07,0.3136378767626283,0.00851063829787234,5.310367500520029,64.33309337370396,1.8063371504872248,0.12422008547008546
