date,datetime,period,n_intraday,pressure_open,pressure_close,pressure_mean,pressure_innovation_raw,RV_pressure,RBV_pressure,MedRV_pressure,RMAD_pressure,RVaR_pressure_optional,pressure_innovation,sqrt_RV_pressure,sqrt_RBV_pressure,sqrt_MedRV_pressure,sqrt_RMAD_pressure,sqrt_RVaR_pressure_optional
2023-05-15,2023-05-15,train,235,1.601490659028815,19.117746771334584,2.1457740808147574,17.51625611230577,253.65955161149176,175.99032535487376,90.01718263733633,95.66283399536087,11.559960668863,2.8063590837894585,0.9843947510284332,1.495444937045613,1.2721091833407105,1.101471018931834,1.2218912019868902
2023-05-16,2023-05-16,train,235,1.5482070680346378,20.377155058734157,1.1795554423351486,18.82894799069952,354.84346292283254,28.86543916231451,22.796051082160922,74.53362583480163,7.477633675330397,3.0166714218557473,1.164292456155718,0.6056407858532049,0.6401643577897465,0.9722491629642677,0.9827350647328096
2023-05-17,2023-05-17,train,235,0.9660444816798345,13.51626237363215,1.0856835073239275,12.550217891952316,106.77121574706213,74.64292628002367,39.407802334853585,61.48808186060744,6.43660899204112,2.0107275069969903,0.6386615534370305,0.9739134378349051,0.8416912022267562,0.8830736501785995,0.911765013539992
2023-05-18,2023-05-18,train,235,0.7565965814029854,11.605534780366723,1.2470786895833175,10.848938198963737,85.64892706927034,59.17567208583565,33.4224496941008,62.839708422219424,6.892635651126,1.7381577472336092,0.5720113450885231,0.8671567903246481,0.775141196187107,0.8927267207756638,0.9435111146076028
2023-05-19,2023-05-19,train,235,1.2647550039326385,11.551214524131485,1.5399730492422055,10.286459520198846,185.09139382096532,144.06598802694387,120.95672553447825,82.40770976240421,7.53320483040257,1.64804047905318,0.8408853612369679,1.3530279269534076,1.4746083553712055,1.0223165129695293,0.9863799767814299
2023-05-22,2023-05-22,train,235,1.804872276370887,20.377155058734157,1.7468436240024068,18.57228278236327,484.15912845279377,64.20942067607655,84.14533096790686,86.54944145593697,7.627079453855578,2.97554992110302,1.3599963455166049,0.9032862626125742,1.2299195112987171,1.0476919047842983,0.9925068088747826
2023-05-23,2023-05-23,train,235,1.4019585681957671,9.403076868272848,0.9628054237530138,8.001118300077081,66.08476218299302,46.99242130430116,30.319558235012753,58.24026779993666,6.244089689894532,1.2818955647788615,0.5024517287567142,0.7727516500098314,0.738283418154347,0.8594351959798009,0.8980260312758906
2023-05-24,2023-05-24,train,235,1.5298250316550814,20.377155058734157,1.3840658291297454,18.847330027079074,271.4685238427481,154.13367756486934,58.969829086541495,79.52229683572135,8.666686222719747,3.019616491535111,1.0183648946372243,1.399506113559203,1.0296191564958088,1.0042594130681999,1.057988375891348
2023-05-25,2023-05-25,train,235,1.6210248957415214,6.576807260631064,2.0869188117591535,4.955782364889543,157.55031354847853,80.67532936564841,61.33243215186188,99.89014157327712,11.58235638297361,0.7939884395285095,0.7758063232140682,1.0125031970934415,1.050042248337773,1.1255447531985225,1.2230742460157424
2023-05-26,2023-05-26,train,235,2.717178128051187,18.28738325907232,2.176665747066391,15.570205131021133,219.0728864364007,100.50640156821396,42.77853988853261,80.98905721440985,9.131336317877341,2.494573402315621,0.9148249367191034,1.1301156568410546,0.8769496483485714,1.013478698895514,1.0859792541555868
2023-05-29,2023-05-29,train,235,1.745404073942812,12.20525909527521,1.4890785435155494,10.459855021332398,103.84076140565482,52.102401563560285,29.883259785017888,69.57326363391068,8.23832476843116,1.6758209611707318,0.6298361896061393,0.813682359259108,0.7329522203939995,0.9393396221634163,1.031510881652314
