date,datetime,period,pressure_innovation,realized_pressure_scale,realized_pressure_measure,measure,model,lambda_t,s_t,k_t,z_t,u_t,loglik_t,squared_error,absolute_error
2023-05-15,2023-05-15,train,2.8063590837894585,0.9843947510284332,253.65955161149176,RV_pressure,RGARCH-CARR-SK-RV,1.044686704810469,-1.0425180300914316,3.0001,50.83552265543002,0.9422870478733868,-58.82899955590815,0.0036351196908551518,0.06029195378203589
2023-05-16,2023-05-16,train,3.0166714218557473,1.164292456155718,354.84346292283254,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,1.0455870660908526,0.021324760187825503,-2.0347877592618375,2855.177135557893,53.433857576988515
2023-05-17,2023-05-17,train,2.0107275069969903,0.6386615534370305,106.77121574706213,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.696923986986903,0.011697494384870659,-1.8132157156416109,2911.6263969916545,53.959488479707204
2023-05-18,2023-05-18,train,1.7381577472336092,0.5720113450885231,85.64892706927034,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.6024505175360063,0.010476753236900503,-1.8095328239252133,2918.82366154103,54.02613868805571
2023-05-19,2023-05-19,train,1.64804047905318,0.8408853612369679,185.09139382096532,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.5712156109571077,0.0154013526232391,-1.8133064678950053,2889.843505005489,53.757264671907265
2023-05-22,2023-05-22,train,2.97554992110302,1.3599963455166049,484.15912845279377,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,1.0313342346376853,0.024909201954480296,-2.0188675768282796,2834.3010080674594,53.23815368762763
2023-05-23,2023-05-23,train,1.2818955647788615,0.5024517287567142,66.08476218299302,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.444308721493931,0.009202724422928193,-1.8536173606904793,2926.3445750393153,54.095698304387525
2023-05-24,2023-05-24,train,3.019616491535111,1.0183648946372243,271.4685238427481,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,1.046607835785281,0.018652003667139233,-2.0359520126946933,2870.793375488577,53.57978513850701
2023-05-25,2023-05-25,train,0.7939884395285095,0.7758063232140682,157.55031354847853,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.2751986964778449,0.014209388463585467,-1.968194248533072,2896.8446824298594,53.822343709930166
2023-05-26,2023-05-26,train,2.494573402315621,0.9148249367191034,219.0728864364007,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.369099901597214,3.0001,0.8646263779271454,0.016755603187356197,-1.888799786195405,2881.8993934084688,53.683325096425136
2023-05-29,2023-05-29,train,1.6758209611707318,0.6298361896061393,103.84076140565482,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.580844406649418,0.01153585220788236,-1.811881437973907,2912.578899114626,53.9683138435381
2023-05-30,2023-05-30,train,2.3575094624981636,0.9285552342688663,225.6982162449437,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.81711961876793,0.017007082359112528,-1.8515385895551701,2880.4254058754705,53.66959479887537
2023-05-31,2023-05-31,train,3.060563889934067,0.9405223878721448,231.55326943939735,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,1.0608003228575655,0.01722626842303619,-2.052475236992985,2879.141004518668,53.65762764527209
2023-06-01,2023-06-01,train,2.941506338532187,1.1718365526576453,359.45681605510373,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,1.019534630159196,0.02146293513509657,-2.0061591163625727,2854.370972115223,53.42631348048659
2023-06-02,2023-06-02,train,3.0176461409721416,1.3159184616393027,453.2842212491739,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,1.0459249065642264,0.024101887350404073,-2.0351727305535325,2838.9962012394776,53.28223157150494
2023-06-05,2023-06-05,train,0.5823655970596247,0.3388288434771309,30.052000586762176,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.5,3.0001,0.2018496053664468,0.006205866742214565,-2.03895901899549,2944.0739359634576,54.259321189667105
2023-06-06,2023-06-06,train,0.8720665627283557,0.4164104915662611,45.38955951082513,RV_pressure,RGARCH-CARR-SK-RV,54.598150033144236,-1.3104207516435311,3.0001,0.30226080048126563,0.007626824193007928,-1.9245828503387254,2935.6608997513945,54.181739541577976
