model,measure,parameter,estimate,optimizer_success,optimizer_message
RGARCH-CARR-SK-MedRV,MedRV_pressure,v_1,-0.14034804631602876,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-MedRV,MedRV_pressure,omega_2,0.05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-MedRV,MedRV_pressure,beta_2,0.03771623418232996,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-MedRV,MedRV_pressure,v_2,0.019519737973868183,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,rho,2.4073493868981592,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,omega,0.07222660474897102,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,beta,0.5069412796011076,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,gamma,0.3505319015775424,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,d1,-0.06489948932671755,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,d2,0.020272098979265067,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,sigma_u,0.12632191336526472,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,omega_1,-0.20991278863253635,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,beta_1,0.5920196932626213,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,v_1,-0.7718022083889025,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,omega_2,2.661289961548236,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,beta_2,0.06346820779806335,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RMAD,RMAD_pressure,v_2,0.08746261324709097,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
