model,measure,period,nobs,MSE,MAE,HMSE,HMAE,R2LOG
RGARCH-CARR-SK-RV,RV_pressure,validation,145,2853.1982496470805,53.41326990177555,4177.928683161713,55.91886511782678,15.605066751770623
RGARCH-CARR-SK-RV,RV_pressure,test,145,2850.9066380796353,53.39167056117712,3452.9597895440675,53.326898416874194,15.396369478636192
RGARCH-CARR-SK-RBV,RBV_pressure,validation,145,2857.0328489966223,53.44954497634677,3400.3791066510917,53.730711176090686,15.577979937591747
RGARCH-CARR-SK-RBV,RBV_pressure,test,145,2853.87224804066,53.420313589643584,3053.610253452033,51.240291391131876,15.266484236924802
RGARCH-CARR-SK-MedRV,MedRV_pressure,validation,145,2866.8397384946547,53.53888526466099,4842.442458525358,63.97645016238008,16.85493264353389
RGARCH-CARR-SK-MedRV,MedRV_pressure,test,145,2852.328371274947,53.37783622718128,4761.886759366248,62.54847907135812,16.693389107996246
RGARCH-CARR-SK-RMAD,RMAD_pressure,validation,145,0.02096100040721849,0.10528468642871529,0.021741515984853587,0.11015412598593499,0.019825045737080813
RGARCH-CARR-SK-RMAD,RMAD_pressure,test,145,0.02696147364482734,0.13113599204586054,0.03863784950296144,0.14479146309005297,0.030460063310860007
