rows,positive_rate,PR_AUC,ROC_AUC,Brier,Top5_hit_rate,Top5_lift,Top5_rows,horizon,feature_group,period,n_features,sample_based,notes
24000,0.04870833333333333,0.519698904515755,0.9193490353993576,0.06024140867037749,0.5133333333333333,10.538922155688622,1200,H5,full_no_leakage,validation_sample,39,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.050583333333333334,0.5883262725781122,0.9247365285860809,0.06154296911286714,0.5741666666666667,11.350906095551895,1200,H5,full_no_leakage,test_sample,39,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.04870833333333333,0.4860733571911512,0.8867915882383289,0.07468679612899574,0.49083333333333334,10.07698887938409,1200,H5,own_lsi_history_only,validation_sample,9,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.050583333333333334,0.568928750494991,0.9063304934053701,0.07270941986661758,0.5683333333333334,11.235584843492587,1200,H5,own_lsi_history_only,test_sample,9,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.04870833333333333,0.48948880630338265,0.8923047239771507,0.0613871828480145,0.49,10.059880239520957,1200,H5,own_lsi_plus_marketlsi,validation_sample,10,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.050583333333333334,0.5571892724562946,0.9057774825173005,0.05927559473522544,0.5591666666666667,11.054365733113674,1200,H5,own_lsi_plus_marketlsi,test_sample,10,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.04870833333333333,0.5197329353049429,0.919455257189932,0.062230251247365705,0.5158333333333334,10.590248075278016,1200,H5,drop_reg_stage,validation_sample,36,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.050583333333333334,0.5883339405383804,0.924618840928221,0.06293167455208128,0.5716666666666667,11.30148270181219,1200,H5,drop_reg_stage,test_sample,36,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.04870833333333333,0.518348086978819,0.9188698008976509,0.06055473599269927,0.5075,10.419161676646706,1200,H5,drop_volume_related,validation_sample,34,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.050583333333333334,0.5887895553546086,0.9242030027686876,0.06098413162702009,0.5741666666666667,11.350906095551895,1200,H5,drop_volume_related,test_sample,34,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.051708333333333335,0.5257918800815297,0.9104381017379352,0.06742071893737463,0.5083333333333333,9.83078162771958,1200,H10,full_no_leakage,validation_sample,39,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.059291666666666666,0.5348313700046676,0.9023086013661189,0.07277493922416374,0.5675,9.571328179901617,1200,H10,full_no_leakage,test_sample,39,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.051708333333333335,0.49840762880510897,0.8850220112867482,0.08474389217515413,0.5008333333333334,9.685737308622079,1200,H10,own_lsi_history_only,validation_sample,9,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.059291666666666666,0.5107214947487443,0.8765317261570469,0.0861553480162824,0.5591666666666667,9.430780042164441,1200,H10,own_lsi_history_only,test_sample,9,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.051708333333333335,0.4971101831151629,0.8885284474863421,0.06746864691812088,0.49916666666666665,9.653505237711522,1200,H10,own_lsi_plus_marketlsi,validation_sample,10,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.059291666666666666,0.5052260696126967,0.876681833211624,0.06925243815576015,0.5566666666666666,9.388615600843288,1200,H10,own_lsi_plus_marketlsi,test_sample,10,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.051708333333333335,0.5272370712956315,0.9103820542751166,0.06935600192275808,0.5108333333333334,9.879129734085415,1200,H10,drop_reg_stage,validation_sample,36,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.059291666666666666,0.5364880881061377,0.9024184775512215,0.07324378753679248,0.5666666666666667,9.557273366127898,1200,H10,drop_reg_stage,test_sample,36,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.051708333333333335,0.527098540933436,0.9093372984110315,0.06663426860891652,0.5091666666666667,9.84689766317486,1200,H10,drop_volume_related,validation_sample,34,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
24000,0.059291666666666666,0.5353700409140005,0.9016595692772615,0.07014339231176325,0.5716666666666667,9.641602248770203,1200,H10,drop_volume_related,test_sample,34,True,固定系统抽样下的轻量特征组消融，未覆盖或替代正式 SMARTBoost 主结果。
