eval_period,quantile,target,pinball_loss,nobs,shock_variable,horizon,MarketLSI_response,tail_direction_stable
validation,0.9,MarketLSI,0.0307127675048391,33350,MarketRelAmt,20,-0.1195992189806194,False
validation,0.95,MarketLSI,0.0224454208143817,33350,CrossStress,1,0.2252133398276079,True
validation,0.95,MarketLSI,0.0224454208143817,33350,CrossStress,5,1.213282915054959,True
validation,0.95,MarketLSI,0.0224454208143817,33350,CrossStress,10,2.6247307053921167,True
validation,0.95,MarketLSI,0.0224454208143817,33350,CrossStress,20,0.0,False
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRV,1,-0.0287496097691999,True
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRV,5,-0.3058128373732445,True
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRV,10,-1.0047233004107938,True
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRV,20,0.0,False
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRet,1,0.0079277039290586,True
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRet,5,0.0039303670914661,True
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRet,10,0.0001055328820216,True
validation,0.95,MarketLSI,0.0224454208143817,33350,IndexRet,20,0.0,False
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketLSI,1,0.8539047562472133,True
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketLSI,5,0.3915312897929817,True
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketLSI,10,0.043618516739432,True
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketLSI,20,0.0,False
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketRelAmt,1,0.0291478707361072,False
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketRelAmt,5,0.1314322320841718,False
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketRelAmt,10,0.1326040562008703,False
validation,0.95,MarketLSI,0.0224454208143817,33350,MarketRelAmt,20,0.0,False
test,0.1,MarketLSI,0.0269536645895033,33350,CrossStress,1,0.0759290993337723,True
test,0.1,MarketLSI,0.0269536645895033,33350,CrossStress,5,0.1555736641362627,True
test,0.1,MarketLSI,0.0269536645895033,33350,CrossStress,10,0.1001903538874007,True
test,0.1,MarketLSI,0.0269536645895033,33350,CrossStress,20,0.0112580629789109,False
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRV,1,-0.0590565798427036,True
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRV,5,-0.0528293577289189,True
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRV,10,-0.0018762576081573,True
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRV,20,0.0150391386450077,False
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRet,1,0.0101934102830259,True
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRet,5,0.0045893087303381,True
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRet,10,0.0014988463579865,True
test,0.1,MarketLSI,0.0269536645895033,33350,IndexRet,20,0.0002150390460289,False
test,0.1,MarketLSI,0.0269536645895033,33350,MarketLSI,1,0.7788622179417632,True
test,0.1,MarketLSI,0.0269536645895033,33350,MarketLSI,5,0.2649772773216129,True
test,0.1,MarketLSI,0.0269536645895033,33350,MarketLSI,10,0.0540172035232322,True
test,0.1,MarketLSI,0.0269536645895033,33350,MarketLSI,20,0.0101521595817901,False
test,0.1,MarketLSI,0.0269536645895033,33350,MarketRelAmt,1,-0.0240839625366331,False
test,0.1,MarketLSI,0.0269536645895033,33350,MarketRelAmt,5,-0.0891727510221273,False
test,0.1,MarketLSI,0.0269536645895033,33350,MarketRelAmt,10,-0.1164865651748707,False
test,0.1,MarketLSI,0.0269536645895033,33350,MarketRelAmt,20,-0.1248893190862374,False
test,0.5,MarketLSI,0.0446774970640053,33350,CrossStress,1,0.0945749465304357,True
test,0.5,MarketLSI,0.0446774970640053,33350,CrossStress,5,0.3655383813802503,True
test,0.5,MarketLSI,0.0446774970640053,33350,CrossStress,10,0.5443704298304413,True
test,0.5,MarketLSI,0.0446774970640053,33350,CrossStress,20,0.6725178357305358,False
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRV,1,-0.0103915794325928,True
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRV,5,-0.0390307088163986,True
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRV,10,-0.0536826918517678,True
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRV,20,-0.0543015747550816,False
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRet,1,0.0069918113855567,True
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRet,5,0.0043887280974604,True
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRet,10,0.0021822785127694,True
test,0.5,MarketLSI,0.0446774970640053,33350,IndexRet,20,0.0005613141006891,False
test,0.5,MarketLSI,0.0446774970640053,33350,MarketLSI,1,0.8709495889544776,True
test,0.5,MarketLSI,0.0446774970640053,33350,MarketLSI,5,0.5004257507256143,True
test,0.5,MarketLSI,0.0446774970640053,33350,MarketLSI,10,0.2534998567364526,True
test,0.5,MarketLSI,0.0446774970640053,33350,MarketLSI,20,0.0709374227575251,False
test,0.5,MarketLSI,0.0446774970640053,33350,MarketRelAmt,1,-0.001063959886105,False
test,0.5,MarketLSI,0.0446774970640053,33350,MarketRelAmt,5,-0.0038501814362147,False
