horizon,threshold_quantile,threshold_value,period,rows_x,positives,event_rate,rows_y,positive_rate,PR_AUC,ROC_AUC,Brier,Top5_hit_rate,Top5_lift,Top5_rows,direction_consistent
H10,0.85,7.8757022007656525,test,2566725,201502,0.07850548851162474,2566725.0,0.07850548851162474,0.5671266262529173,0.8959377825587372,0.05081180414499555,0.6540670266563813,8.33148151876706,128337.0,True
H10,0.85,7.8757022007656525,train,7805926,1170881,0.1499989879483869,,,,,,,,,False
H10,0.85,7.8757022007656525,validation,2577571,189877,0.07366509011778918,2577571.0,0.07366509011778918,0.5454929264696021,0.8865557743791542,0.050700865746491006,0.6180913880461518,8.390560400561984,128879.0,True
H10,0.9,9.606480057878922,test,2566725,148970,0.058038940673426256,2566725.0,0.058038940673426256,0.5445025391339091,0.9090995294791595,0.0435464334024797,0.5641553098482901,9.720289572869385,128337.0,True
H10,0.9,9.606480057878922,train,7805926,780591,0.0999997950275214,,,,,,,,,False
H10,0.9,9.606480057878922,validation,2577571,136008,0.052765956786447396,2577571.0,0.052765956786447396,0.5282429773363452,0.9010178442238509,0.043389658362635045,0.5202399149589926,9.859385608499245,128879.0,True
H10,0.95,13.118492859305025,test,2566725,91020,0.03546153171843497,2566725.0,0.03546153171843497,0.4943073879902168,0.9219780162866862,0.03975362881156503,0.410505154398186,11.576069461906,128337.0,True
H10,0.95,13.118492859305025,train,7805926,390295,0.049999833459861136,,,,,,,,,False
H10,0.95,13.118492859305025,validation,2577571,80322,0.031161896219347594,2577571.0,0.031161896219347594,0.49100469160467963,0.9132932231980826,0.04013351445476726,0.36455900495813903,11.698871031211317,128879.0,True
H5,0.85,6.428453361302083,test,2648270,197720,0.0746600610964894,2648270.0,0.0746600610964894,0.62216091600462,0.9199627371745722,0.04431773026275534,0.6921549080912894,9.270751964651625,132414.0,True
H5,0.85,6.428453361302083,train,7979391,1196909,0.15000004386299656,,,,,,,,,False
H5,0.85,6.428453361302083,validation,2652081,188541,0.07109172004927451,2652081.0,0.07109172004927451,0.6062494791050042,0.9177805768545347,0.045444798135499946,0.6647486897175823,9.35057822847495,132605.0,True
H5,0.9,7.972218375552092,test,2648270,144107,0.05441552409686323,2648270.0,0.05441552409686323,0.6034844730128194,0.9304686444056639,0.03808713337328042,0.5930264171462232,10.898110915748912,132414.0,True
H5,0.9,7.972218375552092,train,7979391,797935,0.099999486176326,,,,,,,,,False
H5,0.9,7.972218375552092,validation,2652081,134093,0.050561427045403215,2652081.0,0.050561427045403215,0.5892631798834115,0.9296329568679341,0.0403207827019575,0.5562761585158931,11.001986910226396,132605.0,True
H5,0.95,11.01232389764072,test,2648270,87878,0.033183172410668094,2648270.0,0.033183172410668094,0.5615326775579162,0.941920176982602,0.03606684512510715,0.42780219614240184,12.89214276585765,132414.0,True
H5,0.95,11.01232389764072,train,7979391,398970,0.050000056395281295,,,,,,,,,False
H5,0.95,11.01232389764072,validation,2652081,78070,0.029437260777480025,2652081.0,0.029437260777480025,0.5531900384684099,0.9411171073081258,0.03984126584865912,0.3810112740846876,12.94316332503897,132605.0,True
