model,measure,nobs_train,log_likelihood,AIC,BIC,optimizer_success,optimizer_message,period,nobs,MSE,MAE,HMSE,HMAE,R2LOG,fit_success,same_direction_stage_lift
RGARCH-CARR-SK-RV,RV_pressure,435,-169.82150699348298,365.643013986966,418.6225123911189,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,validation,145,2853.1982496470805,53.41326990177555,4177.928683161713,55.91886511782678,15.605066751770623,True,True
RGARCH-CARR-SK-RV,RV_pressure,435,-169.82150699348298,365.643013986966,418.6225123911189,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,test,145,2850.9066380796357,53.39167056117712,3452.9597895440675,53.326898416874194,15.396369478636192,True,True
RGARCH-CARR-SK-RBV,RBV_pressure,435,-198.78270397015405,423.5654079403081,476.54490634446097,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,validation,145,2857.0328489966223,53.44954497634677,3400.379106651092,53.730711176090686,15.577979937591747,True,True
RGARCH-CARR-SK-RBV,RBV_pressure,435,-198.78270397015405,423.5654079403081,476.54490634446097,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,test,145,2853.87224804066,53.420313589643584,3053.610253452033,51.24029139113188,15.266484236924802,True,True
RGARCH-CARR-SK-MedRV,MedRV_pressure,435,-203.95906064230368,433.91812128460737,486.8976196887602,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,validation,145,2866.8397384946547,53.53888526466099,4842.442458525358,63.97645016238008,16.85493264353389,True,True
RGARCH-CARR-SK-MedRV,MedRV_pressure,435,-203.95906064230368,433.91812128460737,486.8976196887602,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,test,145,2852.328371274947,53.37783622718128,4761.886759366248,62.54847907135812,16.693389107996246,True,True
RGARCH-CARR-SK-RMAD,RMAD_pressure,435,-553.4922139988602,1132.9844279977203,1185.963926401873,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,validation,145,0.0209610004072184,0.1052846864287152,0.0217415159848535,0.1101541259859349,0.0198250457370808,True,True
RGARCH-CARR-SK-RMAD,RMAD_pressure,435,-553.4922139988602,1132.9844279977203,1185.963926401873,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,test,145,0.0269614736448273,0.1311359920458605,0.0386378495029614,0.1447914630900529,0.03046006331086,True,True
