quantile,shock_size,scenario,scenario_cn,horizon,MarketLSI_response,notes
0.95,1.5,volatility_spike,波动放大,10,-1.5070849506161887,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,volatility_spike,波动放大,20,-4.932870769601544,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,1,-0.04372180610416079,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,5,-0.19714834812625748,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,10,-0.1989060843013042,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,liquidity_contraction,成交收缩/流动性压力,20,0.9399841171442116,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,1,-0.09873777665154854,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,5,-0.6617631548233225,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,10,-1.7061493342405272,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,1.5,composite_pressure,复合压力,20,-3.9916317057137505,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,1,-0.015855407858117204,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,5,-0.007860734182932427,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,10,-0.00021106576404417154,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,market_crash,市场急跌,20,0.0016732623247737166,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,1,-0.057499219538399815,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,5,-0.6116256747464874,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,10,-2.0094466008215845,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,volatility_spike,波动放大,20,-6.577161026135387,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,1,-0.05829574147221439,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,5,-0.2628644641683435,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,10,-0.2652081124017398,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,liquidity_contraction,成交收缩/流动性压力,20,1.253312156192278,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,1,-0.1316503688687314,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,5,-0.8823508730977636,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,10,-2.27486577898737,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.0,composite_pressure,复合压力,20,-5.322175607618332,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,1,-0.019819259822646512,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,5,-0.009825917728665479,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,10,-0.0002638322050554365,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,market_crash,市场急跌,20,0.0020915779059667017,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,1,-0.07187402442299975,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,5,-0.7645320934331097,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,10,-2.511808251026982,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,volatility_spike,波动放大,20,-8.22145128266924,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,1,-0.07286967684026802,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,5,-0.32858058021042935,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,10,-0.33151014050217453,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,liquidity_contraction,成交收缩/流动性压力,20,1.566640195240355,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,1,-0.16456296108591426,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,5,-1.1029385913722045,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,10,-2.843582223734211,QVAR 情景冲击模拟，不表示严格因果识别。
0.95,2.5,composite_pressure,复合压力,20,-6.652719509522912,QVAR 情景冲击模拟，不表示严格因果识别。
