model,measure,period,nobs,MSE,MAE,R2LOG,QLIKE
RGARCH-CARR-SK-MedRV,MedRV_pressure,test,145,2852.3283712749476,53.37783622718128,16.693389107996246,3.0840800796025327
RGARCH-CARR-SK-MedRV,MedRV_pressure,validation,145,2866.8397384946556,53.538885264661,16.85493264353389,3.100223333704453
RGARCH-CARR-SK-RBV,RBV_pressure,test,145,2853.872248040661,53.4203135896436,15.266484236924802,2.9135370579169204
RGARCH-CARR-SK-RBV,RBV_pressure,validation,145,2857.032848996623,53.44954497634677,15.577979937591747,2.9500830582527593
RGARCH-CARR-SK-RMAD,RMAD_pressure,test,145,0.02696147364482734,0.13113599204586054,0.030460063310860014,0.014345414004538483
RGARCH-CARR-SK-RMAD,RMAD_pressure,validation,145,0.020961000407218492,0.1052846864287153,0.019825045737080813,0.009847534336802162
RGARCH-CARR-SK-RV,RV_pressure,test,145,2850.9066380796353,53.39167056117713,15.396369478636192,2.922237056101178
RGARCH-CARR-SK-RV,RV_pressure,validation,145,2853.1982496470814,53.41326990177556,15.605066751770623,2.945311520329794
