horizon,period,rows,positive_rate,PR_AUC,ROC_AUC,Recall_Top5pct,Recall_Top10pct,Precision_Top5pct,Precision_Top10pct,Brier
H10,test,2566725,0.058038940673426256,0.5445025391339091,0.9090995294791595,0.48601731892327316,0.6640464523058334,0.5641553098482901,0.38540477572631326,0.0435464334024797
H10,validation,2577571,0.052765956786447396,0.5282429773363452,0.9010178442238509,0.492971001705782,0.6525866125522028,0.5202399149589926,0.3443423676471729,0.043389658362635045
H5,test,2648270,0.05441552409686323,0.6034844730128194,0.9304686444056639,0.5449076033780454,0.7214708515200511,0.5930264171462232,0.39259214506073775,0.03808713337328042
H5,validation,2652081,0.050561427045403215,0.5892631798834115,0.9296329568679341,0.5501032865250237,0.7207236768511406,0.5562761585158931,0.3644069394326738,0.0403207827019575
