variable,mean,std,median,q01,q99,n_train
MarketLSI,1.4846659227680719,2.7889264740510185,1.0823309506069418,-1.1704185574419046,10.469712494070698,100050
CrossStress,0.10139035705554053,0.11121007539030527,0.075,0.0,0.6329113924050633,100050
IndexRet,2.1312284550654065e-07,0.0005349409150749654,-1.7701145486270775e-05,-0.001358016090712475,0.0015401055660658255,100050
IndexRV,1.4758496023007476e-06,3.840741557844318e-06,6.91897132563097e-07,4.1192756917425057e-08,1.2849236370097654e-05,100050
MarketRelAmt,14.741690102065546,0.5540839545685522,14.66960731362466,13.725328081912055,16.289763285094235,100050
