MarketLSI,CrossStress,IndexRet,IndexRV,MarketRelAmt,horizon,quantile,shock_variable
1.0,0.0,0.0,0.0,0.0,0,0.1,MarketLSI
0.7788622179417632,-0.08552840023541328,0.0007700338861091893,-0.021184356838146012,-0.03766399777011031,1,0.1,MarketLSI
0.6022982833834658,-0.14023755928943443,0.03122402104812272,-0.03029025819723069,-0.06805423555110773,2,0.1,MarketLSI
0.46220539925733184,-0.1719661347671645,0.053311428879189604,-0.032807301929097255,-0.09270741561757917,3,0.1,MarketLSI
0.35165076291918396,-0.18704569350439104,0.06770757107572489,-0.03193563232345081,-0.11276445643042898,4,0.1,MarketLSI
0.26497727732161297,-0.19035765787157644,0.07657831561833128,-0.02945265161474714,-0.12909188093161283,5,0.1,MarketLSI
0.19755611549109275,-0.18562125019225917,0.08155927363744275,-0.026330859868207657,-0.1423713258346806,6,0.1,MarketLSI
0.14559018327944373,-0.1756385892697072,0.08382991372201665,-0.023091311698072214,-0.1531530943362529,7,0.1,MarketLSI
0.10596535315196509,-0.16249205697979474,0.08424570122599107,-0.020002087235099997,-0.16188881731165372,8,0.1,MarketLSI
0.07613346451578584,-0.1477026964425625,0.08342997254588802,-0.017189883522588267,-0.16895249384068056,9,0.1,MarketLSI
0.05401720352323225,-0.13235711391607452,0.08183654178066102,-0.014703004928148244,-0.17465499416251973,10,0.1,MarketLSI
0.037931089460278455,-0.11720880827774183,0.07979364132773614,-0.0125470707358038,-0.1792547679608656,11,0.1,MarketLSI
0.02651505474427973,-0.10275869506764068,0.07753568709858549,-0.01070532823990794,-0.18296623298795267,12,0.1,MarketLSI
0.01867832422464255,-0.08931871459741358,0.07522679211674044,-0.009150223571451177,-0.1859666396317632,13,0.1,MarketLSI
0.013551963527211552,-0.07706172254383481,0.07297847077920028,-0.0078499703883817,-0.1884018468644757,14,0.1,MarketLSI
0.01044884010360847,-0.06606030138535601,0.0708631141421614,-0.006772232632335451,-0.1903912564890069,15,0.1,MarketLSI
0.008829965174240284,-0.05631666885475628,0.06892430314788356,-0.005886128517943345,-0.19203205529911171,16,0.1,MarketLSI
0.00827633346123624,-0.04778547435551195,0.06718471075998123,-0.005163251375160716,-0.19340286516003724,17,0.1,MarketLSI
0.008465488054592796,-0.04039095186566577,0.06565214163819233,-0.0045781130362014255,-0.19456687577143583,18,0.1,MarketLSI
0.009152128466443643,-0.03403962789801418,0.06432412247668673,-0.00410824957594047,-0.19557452166439226,19,0.1,MarketLSI
0.010152159581790166,-0.028629557534544325,0.06319136116283641,-0.003734133149780161,-0.19646575743269779,20,0.1,MarketLSI
0.0,1.0,0.0,0.0,0.0,0,0.1,CrossStress
0.07592909933377234,0.8605491897569439,-0.19426460904612597,0.021192657947334576,0.02655451675491438,1,0.1,CrossStress
0.12060770887774624,0.7329880880473365,-0.18974293965880906,0.02789523035587993,0.0452754366870651,2,0.1,CrossStress
0.1449199765332208,0.6193905392045987,-0.1708831375143336,0.028077725009810706,0.05853934126242477,3,0.1,CrossStress
0.15509254448253623,0.5195934044208504,-0.15122684727487945,0.025373577006668646,0.06785944315119574,4,0.1,CrossStress
0.15557366413626272,0.4328759936825489,-0.1326278333413261,0.02163623033814327,0.07430003235709237,5,0.1,CrossStress
0.14961920254560873,0.35824161463291015,-0.11568243089530339,0.017789400807733946,0.07863298074163283,6,0.1,CrossStress
0.13961013367216935,0.29455663358177386,-0.10060775897964391,0.01425999100619435,0.08142833699834351,7,0.1,CrossStress
0.12727367876966678,0.24064216994308063,-0.08742592260078297,0.011213490644405577,0.0831119044297084,8,0.1,CrossStress
0.113845340261021,0.19533533617481058,-0.07605193277472033,0.008682343458593644,0.08400355249243274,9,0.1,CrossStress
0.10019035388740072,0.1575287938039599,-0.06634488946371164,0.006635377630349937,0.0843437598860306,10,0.1,CrossStress
0.08689602533718854,0.12619473761105238,-0.05813865231858395,0.005014788599342512,0.08431268543181991,11,0.1,CrossStress
0.07434251283491544,0.1003977663526866,-0.051260236745315324,0.0037553214565989035,0.0840442912881394,12,0.1,CrossStress
0.06275727377966012,0.07929993262011892,-0.04554069455993781,0.002793752286497808,0.08363704617232082,13,0.1,CrossStress
0.05225692598319864,0.06216041379282178,-0.04082131803987732,0.0020731424758012595,0.08316216780457619,14,0.1,CrossStress
0.042879313826503784,0.048331613112047145,-0.0369568990811695,0.0015443319231522312,0.08267003350231117,15,0.1,CrossStress
0.03460791153725984,0.03725302305889433,-0.0338171239480104,0.0011660245877835873,0.08219519076507176,16,0.1,CrossStress
0.027390224088326143,0.028443821548439607,-0.03128679288879799,0.0009042035613598398,0.08176027781435224,17,0.1,CrossStress
0.021151494681102556,0.021494896592253343,-0.029265313124141268,0.0007312717393717638,0.08137908530161209,18,0.1,CrossStress
0.015804757605361153,0.01606078663066679,-0.027665761559327207,0.0006251257344620509,0.08105893695466593,19,0.1,CrossStress
0.011258062978910965,0.011851866533386879,-0.026413714796645005,0.0005682670180630067,0.08080252883945516,20,0.1,CrossStress
0.0,0.0,1.0,0.0,0.0,0,0.1,IndexRet
0.010193410283025922,0.0059291577099668535,0.05978439057218332,0.00348205625990769,0.00031156881712179896,1,0.1,IndexRet
0.008785722422527398,0.004622633932890863,0.0016970427325463389,0.002064673181242316,-9.294353900746177e-05,2,0.1,IndexRet
0.007091464248279555,0.003260543379278169,-0.001150739809063106,0.0010710345572902402,-0.00041702785660735486,3,0.1,IndexRet
0.005705905777422471,0.002207009982247432,-0.0007859991861189908,0.000511710631039497,-0.0006581106782478363,4,0.1,IndexRet
0.0045893087303381375,0.0014160963330260845,-0.00039207642951977206,0.00020656260526780157,-0.0008431775314832191,5,0.1,IndexRet
0.0036860736748480782,0.0008309088606359705,-0.00010957656279730887,4.361866958191296e-05,-0.0009897491201587005,6,0.1,IndexRet
0.0029541778317312417,0.00040524119780815937,8.96729045536393e-05,-4.0269771837353474e-05,-0.001108478615454045,7,0.1,IndexRet
0.0023616559225294598,0.00010243716764790634,0.00023092531002211203,-8.04185685620018e-05,-0.0012060854281636946,8,0.1,IndexRet
0.0018833330100272994,-0.00010652570802172079,0.0003311682549188566,-9.659784531168558e-05,-0.0012870540482325943,9,0.1,IndexRet
0.001498846357986583,-0.0002445671836424079,0.00040192005973493927,-9.989387730324761e-05,-0.0013545681138089627,10,0.1,IndexRet
0.0011914447272717288,-0.00032970839141710506,0.00045122265825603414,-9.652752947647558e-05,-0.0014110220388598993,11,0.1,IndexRet
0.0009472199069932019,-0.0003760338487368564,0.00048484286536920607,-8.99829041082767e-05,-0.0014583030202182101,12,0.1,IndexRet
0.0007545798863021203,-0.00039446896489769845,0.0005070029970615231,-8.219772372819456e-05,-0.0014979490005886387,13,0.1,IndexRet
0.0006038610442498094,-0.0003934123143645163,0.0005208394928081228,-7.423183312221804e-05,-0.001531239949205565,14,0.1,IndexRet
0.0004870244439493243,-0.0003792509018201162,0.0005287019774018464,-6.66446602086701e-05,-0.0015592534099957422,15,0.1,IndexRet
0.00039740684179068175,-0.0003567797828127883,0.0005323562639075741,-5.970977894670382e-05,-0.0015829008703012182,16,0.1,IndexRet
0.0003295105130549647,-0.0003295428914116272,0.0005331275540427782,-5.353784646960902e-05,-0.0016029537037776098,17,0.1,IndexRet
0.00027882302104220713,-0.0003001087588565543,0.0005320049027655038,-4.814766525035319e-05,-0.0016200632518379443,18,0.1,IndexRet
0.00024166165216776836,-0.0002702924393178652,0.0005297194953046702,-4.350762715343848e-05,-0.0016347773850364788,19,0.1,IndexRet
0.00021503904602893087,-0.00024133309377427636,0.0005268044602629862,-3.95600686423081e-05,-0.0016475547263730128,20,0.1,IndexRet
0.0,0.0,0.0,1.0,0.0,0,0.1,IndexRV
-0.05905657984270363,0.011322956880461144,-0.18678022104353786,0.5587492098229312,-0.056430036780312776,1,0.1,IndexRV
-0.0786798826986631,0.020334814720293415,-0.10278307968346234,0.3128257001526632,-0.08546304551487388,2,0.1,IndexRV
-0.07720062103208253,0.02764670698206184,-0.045880248549164726,0.17620436300705722,-0.09959835078095752,3,0.1,IndexRV
-0.06650443764382563,0.032683166010265,-0.014624130015040038,0.10013504287222119,-0.10586030544676939,4,0.1,IndexRV
-0.052829357728918946,0.03546202802264031,0.0021461999498375572,0.057596420943514026,-0.10808566932837871,5,0.1,IndexRV
-0.03923063020949147,0.036314181628047226,0.011156090016571807,0.033647084576505004,-0.10834541843176293,6,0.1,IndexRV
-0.02706192868770385,0.03566814377580119,0.016081939436348724,0.020025771259342795,-0.1077403121922984,7,0.1,IndexRV
-0.0167931738776258,0.03394296166929589,0.0188947329917607,0.012162860243712326,-0.10684082360439784,8,0.1,IndexRV
-0.008454854912792742,0.03150262328344622,0.020635610461992138,0.007528598338529036,-0.10592981325874917,9,0.1,IndexRV
-0.00187625760815735,0.02864210166728698,0.02184373833183728,0.0047203921086272915,-0.10513609683265934,10,0.1,IndexRV
0.003189408611349087,0.025588681863839113,0.022790378420372348,0.002958563530503333,-0.10450770103708606,11,0.1,IndexRV
0.007001584022969798,0.022509899176205383,0.023606172339568743,0.001807817820895119,-0.10405180457313401,12,0.1,IndexRV
0.009802269257375817,0.01952362301671451,0.024349795652904627,0.0010234162756416199,-0.10375630060377161,13,0.1,IndexRV
0.011803659135137368,0.016708095834412795,0.02504454063659911,0.00046623325175859653,-0.10360124467356857,14,0.1,IndexRV
0.013184938434378735,0.014110949901815606,0.025697450695937096,5.585268071905958e-05,-0.10356475937897547,15,0.1,IndexRV
0.014093578084086622,0.01175685666719295,0.026309039544736068,-0.00025533618514805845,-0.10362592300544993,16,0.1,IndexRV
0.01464862398656741,0.009653779262095652,0.02687799309285288,-0.0004964552985868842,-0.1037660374950562,17,0.1,IndexRV
0.014944657255275717,0.00779794478041862,0.027403249344771785,-0.000686062802419507,-0.1039690442208756,18,0.1,IndexRV
0.015055755472367705,0.006177709416228749,0.02788475054686923,-0.000836553974435883,-0.10422150880381942,19,0.1,IndexRV
0.015039138645007721,0.004776500346600043,0.028323558320603293,-0.0009566195789837417,-0.10451240391772787,20,0.1,IndexRV
0.0,0.0,0.0,0.0,1.0,0,0.1,MarketRelAmt
-0.02408396253663314,-0.005681278092007469,-0.26567213377625,0.003821356721120689,0.9994605341182909,1,0.1,MarketRelAmt
-0.04619421418590408,-0.010039312631010044,-0.28104048738707754,0.0054191918345719015,0.9993791795242246,2,0.1,MarketRelAmt
-0.0639950147318048,-0.01197112824625357,-0.2814065191559536,0.00663418971023183,0.9999199495918398,3,0.1,MarketRelAmt
-0.07809457536296716,-0.012102561771777043,-0.28143743106609054,0.007650018948531512,1.0010109023955016,4,0.1,MarketRelAmt
-0.0891727510221273,-0.011004633018057541,-0.2819041759416834,0.008517578713487406,1.002571489421296,5,0.1,MarketRelAmt
-0.09781133669937292,-0.00911412286802682,-0.2827305467601323,0.009264617429242117,1.00452853606185,6,0.1,MarketRelAmt
-0.10449573449319371,-0.006755960998866106,-0.2838133268681453,0.009909693641548534,1.006817679304067,7,0.1,MarketRelAmt
-0.10962717113449583,-0.004167061926442117,-0.2850699638706198,0.010466687183101286,1.0093832295891687,8,0.1,MarketRelAmt
-0.1135347726503867,-0.001516022950211915,-0.2864376045896101,0.01094690692380862,1.0121775905344943,9,0.1,MarketRelAmt
-0.11648656517487077,0.0010809904074923216,-0.28786945957658505,0.01136010795964515,1.01516049203929,10,0.1,MarketRelAmt
-0.11869925377558999,0.0035475525112050876,-0.28933149450769213,0.01171496608493533,1.0182981600412606,11,0.1,MarketRelAmt
-0.12034677679549688,0.005836921690366537,-0.290799642375257,0.012019289434723579,1.0215624922600737,12,0.1,MarketRelAmt
-0.12156769627371555,0.007924141871591517,-0.2922575104463636,0.012280111403822014,1.024930278471686,13,0.1,MarketRelAmt
-0.12247151711575932,0.009799896813350362,-0.29369452469638124,0.012503736744050753,1.0283824852897796,14,0.1,MarketRelAmt
-0.12314404208138574,0.011465777428383173,-0.2951044484327432,0.012695774671571403,1.0319036141172822,15,0.1,MarketRelAmt
