model_period,quantile,target,regressor,estimate,pseudo_rsquared,nobs
train_only,0.1,MarketLSI,const,-0.16318872357955294,0.6388708022427527,100049
train_only,0.1,MarketLSI,MarketLSI,0.7788622179417632,0.6388708022427527,100049
train_only,0.1,MarketLSI,CrossStress,0.07592909933377234,0.6388708022427527,100049
train_only,0.1,MarketLSI,IndexRet,0.010193410283025922,0.6388708022427527,100049
train_only,0.1,MarketLSI,IndexRV,-0.05905657984270363,0.6388708022427527,100049
train_only,0.1,MarketLSI,MarketRelAmt,-0.02408396253663314,0.6388708022427527,100049
train_only,0.1,CrossStress,const,-0.216910667126503,0.5247456465074083,100049
train_only,0.1,CrossStress,MarketLSI,-0.0855284002354133,0.5247456465074083,100049
train_only,0.1,CrossStress,CrossStress,0.8605491897569439,0.5247456465074083,100049
train_only,0.1,CrossStress,IndexRet,0.00592915770996684,0.5247456465074083,100049
train_only,0.1,CrossStress,IndexRV,0.011322956880461144,0.5247456465074083,100049
train_only,0.1,CrossStress,MarketRelAmt,-0.005681278092007469,0.5247456465074083,100049
train_only,0.1,IndexRet,const,-1.0486418049991277,0.11025174018986206,100049
train_only,0.1,IndexRet,MarketLSI,0.0007700338861091893,0.11025174018986206,100049
train_only,0.1,IndexRet,CrossStress,-0.19426460904612602,0.11025174018986206,100049
train_only,0.1,IndexRet,IndexRet,0.059784390572183266,0.11025174018986206,100049
train_only,0.1,IndexRet,IndexRV,-0.18678022104353786,0.11025174018986206,100049
train_only,0.1,IndexRet,MarketRelAmt,-0.26567213377625,0.11025174018986206,100049
train_only,0.1,IndexRV,const,-0.16572544092618569,0.3599430570745379,100049
train_only,0.1,IndexRV,MarketLSI,-0.021184356838146012,0.3599430570745379,100049
train_only,0.1,IndexRV,CrossStress,0.021192657947334576,0.3599430570745379,100049
train_only,0.1,IndexRV,IndexRet,0.003482056259907697,0.3599430570745379,100049
train_only,0.1,IndexRV,IndexRV,0.5587492098229312,0.3599430570745379,100049
train_only,0.1,IndexRV,MarketRelAmt,0.003821356721120689,0.3599430570745379,100049
train_only,0.1,MarketRelAmt,const,-0.13901213541880236,0.8490011940457618,100049
train_only,0.1,MarketRelAmt,MarketLSI,-0.03766399777011031,0.8490011940457618,100049
train_only,0.1,MarketRelAmt,CrossStress,0.02655451675491438,0.8490011940457618,100049
train_only,0.1,MarketRelAmt,IndexRet,0.00031156881712179896,0.8490011940457618,100049
train_only,0.1,MarketRelAmt,IndexRV,-0.056430036780312776,0.8490011940457618,100049
train_only,0.1,MarketRelAmt,MarketRelAmt,0.9994605341182909,0.8490011940457618,100049
train_only,0.5,MarketLSI,const,-0.004108929531960903,0.7505535378732137,100049
train_only,0.5,MarketLSI,MarketLSI,0.8709495889544776,0.7505535378732137,100049
train_only,0.5,MarketLSI,CrossStress,0.09457494653043574,0.7505535378732137,100049
train_only,0.5,MarketLSI,IndexRet,0.006991811385556712,0.7505535378732137,100049
train_only,0.5,MarketLSI,IndexRV,-0.010391579432592835,0.7505535378732137,100049
train_only,0.5,MarketLSI,MarketRelAmt,-0.0010639598861050814,0.7505535378732137,100049
train_only,0.5,CrossStress,const,-1.5489730900708487e-07,0.758532204617633,100049
train_only,0.5,CrossStress,MarketLSI,-5.182604829734316e-07,0.758532204617633,100049
train_only,0.5,CrossStress,CrossStress,1.0000000517666006,0.758532204617633,100049
train_only,0.5,CrossStress,IndexRet,3.845396541121704e-08,0.758532204617633,100049
train_only,0.5,CrossStress,IndexRV,-6.041490512309622e-07,0.758532204617633,100049
train_only,0.5,CrossStress,MarketRelAmt,8.799967365913375e-08,0.758532204617633,100049
train_only,0.5,IndexRet,const,-0.03276769471592866,0.005957521617866335,100049
train_only,0.5,IndexRet,MarketLSI,-0.13142123942469555,0.005957521617866335,100049
train_only,0.5,IndexRet,CrossStress,0.11069486929009625,0.005957521617866335,100049
train_only,0.5,IndexRet,IndexRet,0.07941671997020974,0.005957521617866335,100049
train_only,0.5,IndexRet,IndexRV,-0.05859104872311491,0.005957521617866335,100049
train_only,0.5,IndexRet,MarketRelAmt,0.01769199576199329,0.005957521617866335,100049
train_only,0.5,IndexRV,const,-0.0031922190955500085,0.6686803437728819,100049
train_only,0.5,IndexRV,MarketLSI,-0.02018390852694888,0.6686803437728819,100049
train_only,0.5,IndexRV,CrossStress,0.024240638797438985,0.6686803437728819,100049
train_only,0.5,IndexRV,IndexRet,0.000788583569123924,0.6686803437728819,100049
train_only,0.5,IndexRV,IndexRV,0.9731336412013167,0.6686803437728819,100049
train_only,0.5,IndexRV,MarketRelAmt,0.0029959541543011226,0.6686803437728819,100049
train_only,0.5,MarketRelAmt,const,-0.00942862589139637,0.8800559304870139,100049
train_only,0.5,MarketRelAmt,MarketLSI,-0.036299700225166154,0.8800559304870139,100049
train_only,0.5,MarketRelAmt,CrossStress,0.034378195715302984,0.8800559304870139,100049
train_only,0.5,MarketRelAmt,IndexRet,0.000622615775957347,0.8800559304870139,100049
train_only,0.5,MarketRelAmt,IndexRV,-0.011694167572661951,0.8800559304870139,100049
train_only,0.5,MarketRelAmt,MarketRelAmt,0.9887895909802165,0.8800559304870139,100049
train_only,0.9,MarketLSI,const,0.14391790624787448,0.7984949919725288,100049
train_only,0.9,MarketLSI,MarketLSI,0.8580254781576855,0.7984949919725288,100049
train_only,0.9,MarketLSI,CrossStress,0.17913014368457247,0.7984949919725288,100049
train_only,0.9,MarketLSI,IndexRet,0.008334547762724853,0.7984949919725288,100049
train_only,0.9,MarketLSI,IndexRV,-0.011328763069791137,0.7984949919725288,100049
train_only,0.9,MarketLSI,MarketRelAmt,0.01888665964585723,0.7984949919725288,100049
train_only,0.9,CrossStress,const,0.2055893768467255,0.8084269631866418,100049
train_only,0.9,CrossStress,MarketLSI,-0.012785790172546774,0.8084269631866418,100049
train_only,0.9,CrossStress,CrossStress,1.1157743783946592,0.8084269631866418,100049
train_only,0.9,CrossStress,IndexRet,-0.00010601324872461237,0.8084269631866418,100049
